WVHT,DPD,APD,MWD,WTMP,time_sin
2.1,13,7.5,345,29.2,-0.79335334
1.9,13,7,281,29.1,-0.866025404
2,13,7.3,346,29.2,-0.923879533
2,12,7.2,272,29.1,-0.965925826
2,13,7.6,263,29.1,-0.991444861
2.1,12,7.3,328,29.1,-1
2.1,12,7.4,317,29.1,-0.991444861
2,12,7.3,318,29.1,-0.965925826
2.1,13,8,325,29.1,-0.923879533
2.1,13,8.5,259,29.2,-0.866025404
2,13,8,268,29.2,-0.79335334
2,13,7.9,273,29.2,-0.707106781
2,12,7.5,313,29.2,-0.608761429
1.9,13,7.7,287,29.2,-0.5
2.1,13,7.7,286,29.2,-0.382683432
2,13,7.3,253,29.2,-0.258819045
2.1,12,7.4,296,29.2,-0.130526192
1.9,13,6.8,332,29.2,1.22E-16
2,13,7.2,244,29.2,0.130526192
2.1,13,7.6,289,29.2,0.258819045
1.9,13,7.2,271,29.2,0.382683432
1.9,13,7.2,248,29.2,0.5
1.9,13,7.2,284,29.2,0.608761429
2.2,13,8.1,252,29.2,0.707106781
2,13,7.5,237,29.2,0.79335334
2,13,6.8,254,29.3,0.866025404
2.1,13,7.6,262,29.3,0.923879533
2,13,7.2,255,29.3,0.965925826
1.9,13,7.4,219,29.3,0.991444861
2.1,13,8.1,209,29.3,1
1.8,13,7.1,221,29.3,0.991444861
2,13,7.4,226,29.3,0.965925826
1.9,13,7,202,29.3,0.923879533
1.9,13,7,201,29.3,0.866025404
2,13,7.4,212,29.4,0.79335334
2,13,7.2,230,29.3,0.707106781
2.1,13,7.3,227,29.3,0.608761429
2.2,13,7.5,221,29.3,0.5
2.2,13,7.5,211,29.3,0.382683432
2.1,13,7,238,29.3,0.258819045
1.9,13,6.8,208,29.3,0.130526192
1.9,13,7,219,29.3,0
1.9,13,6.8,201,29.3,-0.130526192
2.1,13,7.3,204,29.3,-0.258819045
1.8,12,6.9,265,29.3,-0.382683432
1.9,13,7.6,213,29.3,-0.5
2,13,7.9,250,29.3,-0.608761429
1.9,12,7.7,206,29.3,-0.707106781
1.9,13,7.9,224,29.3,-0.79335334
1.9,13,7.9,201,29.2,-0.866025404
1.9,13,7.9,256,29.2,-0.923879533
1.8,13,7.9,237,29.2,-0.965925826
