#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 02 01 57 999 99.0 99.0  0.61  7.14  3.99 122 9999.0 999.0  11.6 999.0 99.0 99.00
2010 01 02 02 27 999 99.0 99.0  0.60  7.14  3.96 119 9999.0 999.0  11.5 999.0 99.0 99.00
2010 01 02 02 57 999 99.0 99.0  0.58 15.38  3.59 104 9999.0 999.0  11.5 999.0 99.0 99.00
2010 01 02 04 27 999 99.0 99.0  0.58  2.56  3.30 337 9999.0 999.0  11.4 999.0 99.0 99.00
2010 01 02 04 57 999 99.0 99.0  0.58  2.78  3.20 338 9999.0 999.0  11.4 999.0 99.0 99.00
2010 01 02 05 27 999 99.0 99.0  0.62  2.78  3.13 327 9999.0 999.0  11.4 999.0 99.0 99.00
2010 01 02 05 57 999 99.0 99.0  0.66  2.86  3.12 329 9999.0 999.0  11.4 999.0 99.0 99.00
2010 01 02 06 27 999 99.0 99.0  0.62  2.94  3.17 327 9999.0 999.0  11.4 999.0 99.0 99.00
2010 01 02 06 57 999 99.0 99.0  0.60  2.70  3.08 330 9999.0 999.0  11.4 999.0 99.0 99.00
2010 01 02 07 27 999 99.0 99.0  0.66  2.94  3.19 330 9999.0 999.0  11.4 999.0 99.0 99.00
2010 01 02 07 57 999 99.0 99.0  0.69  3.03  3.32 337 9999.0 999.0  11.3 999.0 99.0 99.00
2010 01 02 08 27 999 99.0 99.0  0.64  3.23  3.26 337 9999.0 999.0  11.3 999.0 99.0 99.00
2010 01 02 08 57 999 99.0 99.0  0.68  3.12  3.30 345 9999.0 999.0  11.3 999.0 99.0 99.00
2010 01 02 09 27 999 99.0 99.0  0.64  3.12  3.31 359 9999.0 999.0  11.3 999.0 99.0 99.00
2010 01 02 09 57 999 99.0 99.0  0.67 14.29  3.36  92 9999.0 999.0  11.4 999.0 99.0 99.00
2010 01 02 10 27 999 99.0 99.0  0.79  3.33  3.30  15 9999.0 999.0  11.4 999.0 99.0 99.00
2010 01 02 10 57 999 99.0 99.0  0.80  3.57  3.33  21 9999.0 999.0  11.3 999.0 99.0 99.00
2010 01 02 11 27 999 99.0 99.0  0.81  3.33  3.39  12 9999.0 999.0  11.3 999.0 99.0 99.00
2010 01 02 11 57 999 99.0 99.0  0.79  3.33  3.31   8 9999.0 999.0  11.3 999.0 99.0 99.00
2010 01 02 12 27 999 99.0 99.0  0.75  3.57  3.27  18 9999.0 999.0  11.3 999.0 99.0 99.00
2010 01 02 12 57 999 99.0 99.0  0.80  3.57  3.36  23 9999.0 999.0  11.3 999.0 99.0 99.00
2010 01 02 13 27 999 99.0 99.0  0.74  3.57  3.33  28 9999.0 999.0  11.3 999.0 99.0 99.00
2010 01 02 13 57 999 99.0 99.0  0.79  2.94  3.22 350 9999.0 999.0  11.3 999.0 99.0 99.00
2010 01 02 14 27 999 99.0 99.0  0.90  3.33  3.26   1 9999.0 999.0  11.2 999.0 99.0 99.00
2010 01 02 14 57 999 99.0 99.0  0.94  3.45  3.33 344 9999.0 999.0  11.2 999.0 99.0 99.00
2010 01 02 15 27 999 99.0 99.0  0.94  3.57  3.36 340 9999.0 999.0  11.2 999.0 99.0 99.00
2010 01 02 15 57 999 99.0 99.0  0.85  3.57  3.29 341 9999.0 999.0  11.2 999.0 99.0 99.00
2010 01 02 16 27 999 99.0 99.0  0.88  3.57  3.36 340 9999.0 999.0  11.2 999.0 99.0 99.00
2010 01 02 16 57 999 99.0 99.0  0.85  3.45  3.32 338 9999.0 999.0  11.2 999.0 99.0 99.00
2010 01 02 17 27 999 99.0 99.0  0.89  3.70  3.30 345 9999.0 999.0  11.2 999.0 99.0 99.00
2010 01 02 17 57 999 99.0 99.0  0.90  3.57  3.37 341 9999.0 999.0  11.2 999.0 99.0 99.00
2010 01 02 18 27 999 99.0 99.0  0.91  3.70  3.34 345 9999.0 999.0  11.2 999.0 99.0 99.00
2010 01 02 18 57 999 99.0 99.0  0.89  3.45  3.39 340 9999.0 999.0  11.2 999.0 99.0 99.00
2010 01 02 19 27 999 99.0 99.0  0.86  3.57  3.32 337 9999.0 999.0  11.2 999.0 99.0 99.00
2010 01 02 19 57 999 99.0 99.0  0.95  3.70  3.44 337 9999.0 999.0  11.2 999.0 99.0 99.00
2010 01 02 20 27 999 99.0 99.0  0.97  3.85  3.41 320 9999.0 999.0  11.2 999.0 99.0 99.00
2010 01 02 20 57 999 99.0 99.0  0.99  3.85  3.45 327 9999.0 999.0  11.2 999.0 99.0 99.00
2010 01 02 21 27 999 99.0 99.0  1.03  4.00  3.53 331 9999.0 999.0  11.1 999.0 99.0 99.00
2010 01 02 21 57 999 99.0 99.0  1.03  3.85  3.54 319 9999.0 999.0  11.1 999.0 99.0 99.00
2010 01 02 22 27 999 99.0 99.0  0.98  3.85  3.53 323 9999.0 999.0  11.2 999.0 99.0 99.00
2010 01 02 22 57 999 99.0 99.0  0.89  3.57  3.38 310 9999.0 999.0  11.1 999.0 99.0 99.00
2010 01 02 23 27 999 99.0 99.0  0.81  3.57  3.36 324 9999.0 999.0  11.1 999.0 99.0 99.00
2010 01 02 23 57 999 99.0 99.0  0.77  3.33  3.26 323 9999.0 999.0  11.1 999.0 99.0 99.00
2010 01 03 00 27 999 99.0 99.0  0.80  3.33  3.25 314 9999.0 999.0  11.1 999.0 99.0 99.00
2010 01 03 00 57 999 99.0 99.0  0.73  3.23  3.18 317 9999.0 999.0  11.1 999.0 99.0 99.00
2010 01 03 01 27 999 99.0 99.0  0.69  3.23  3.23 319 9999.0 999.0  11.1 999.0 99.0 99.00
2010 01 03 01 57 999 99.0 99.0  0.65  3.23  3.19 323 9999.0 999.0  11.1 999.0 99.0 99.00
2010 01 03 02 27 999 99.0 99.0  0.66  3.12  3.14 319 9999.0 999.0  11.0 999.0 99.0 99.00
2010 01 03 02 57 999 99.0 99.0  0.72  3.23  3.23 319 9999.0 999.0  11.0 999.0 99.0 99.00
2010 01 03 03 27 999 99.0 99.0  0.71  3.12  3.18 320 9999.0 999.0  11.0 999.0 99.0 99.00
2010 01 03 03 57 999 99.0 99.0  0.77  3.23  3.14 314 9999.0 999.0  11.0 999.0 99.0 99.00
2010 01 03 04 27 999 99.0 99.0  0.73  3.12  3.12 317 9999.0 999.0  10.9 999.0 99.0 99.00
2010 01 03 04 57 999 99.0 99.0  0.72  3.23  3.17 320 9999.0 999.0  10.9 999.0 99.0 99.00
2010 01 03 05 27 999 99.0 99.0  0.72  3.12  3.13 326 9999.0 999.0  10.8 999.0 99.0 99.00
2010 01 03 05 57 999 99.0 99.0  0.78  3.23  3.22 323 9999.0 999.0  10.8 999.0 99.0 99.00
2010 01 03 06 27 999 99.0 99.0  0.82  3.33  3.18 323 9999.0 999.0  10.8 999.0 99.0 99.00
2010 01 03 06 57 999 99.0 99.0  0.83  3.23  3.28 319 9999.0 999.0  10.8 999.0 99.0 99.00
2010 01 03 07 27 999 99.0 99.0  0.89  3.23  3.26 313 9999.0 999.0  10.8 999.0 99.0 99.00
2010 01 03 07 57 999 99.0 99.0  0.91  3.45  3.37 313 9999.0 999.0  10.7 999.0 99.0 99.00
2010 01 03 08 27 999 99.0 99.0  0.80  3.45  3.34 317 9999.0 999.0  10.7 999.0 99.0 99.00
2010 01 03 08 57 999 99.0 99.0  0.84  3.57  3.34 316 9999.0 999.0  10.7 999.0 99.0 99.00
2010 01 03 09 27 999 99.0 99.0  0.91  3.57  3.38 314 9999.0 999.0  10.7 999.0 99.0 99.00
2010 01 03 09 57 999 99.0 99.0  0.85  3.70  3.34 309 9999.0 999.0  10.7 999.0 99.0 99.00
2010 01 03 10 27 999 99.0 99.0  0.91  3.57  3.43 313 9999.0 999.0  10.7 999.0 99.0 99.00
2010 01 03 10 57 999 99.0 99.0  0.91  3.57  3.39 317 9999.0 999.0  10.6 999.0 99.0 99.00
2010 01 03 11 27 999 99.0 99.0  0.84  3.70  3.38 320 9999.0 999.0  10.6 999.0 99.0 99.00
2010 01 03 11 57 999 99.0 99.0  0.79  3.45  3.24 309 9999.0 999.0  10.6 999.0 99.0 99.00
2010 01 03 12 27 999 99.0 99.0  0.75  3.23  3.23 316 9999.0 999.0  10.6 999.0 99.0 99.00
2010 01 03 12 57 999 99.0 99.0  0.73  3.12  3.17 319 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 03 13 27 999 99.0 99.0  0.69  3.12  3.17 321 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 03 13 57 999 99.0 99.0  0.81  3.45  3.20 323 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 03 14 27 999 99.0 99.0  0.77  3.45  3.26 321 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 03 14 57 999 99.0 99.0  0.72  3.23  3.26 321 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 03 15 27 999 99.0 99.0  0.76  3.23  3.19 314 9999.0 999.0  10.5 999.0 99.0 99.00
