#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 01 00 27 999 99.0 99.0  0.37  8.33  6.28  99 9999.0 999.0   8.7 999.0 99.0 99.00
2011 01 01 00 57 999 99.0 99.0  0.36  9.88  6.33 105 9999.0 999.0   8.6 999.0 99.0 99.00
2011 01 01 01 27 999 99.0 99.0  0.36 13.33  6.45 108 9999.0 999.0   8.6 999.0 99.0 99.00
2011 01 01 01 57 999 99.0 99.0  0.34 11.76  6.40  96 9999.0 999.0   8.5 999.0 99.0 99.00
2011 01 01 02 27 999 99.0 99.0  0.34 12.50  6.41 104 9999.0 999.0   8.5 999.0 99.0 99.00
2011 01 01 02 57 999 99.0 99.0  0.34 13.33  6.54 118 9999.0 999.0   8.4 999.0 99.0 99.00
2011 01 01 03 27 999 99.0 99.0  0.35 13.33  6.51 116 9999.0 999.0   8.4 999.0 99.0 99.00
2011 01 01 03 57 999 99.0 99.0  0.35 10.53  6.54 101 9999.0 999.0   8.4 999.0 99.0 99.00
2011 01 01 04 27 999 99.0 99.0  0.35  9.09  6.47 102 9999.0 999.0   8.3 999.0 99.0 99.00
2011 01 01 04 57 999 99.0 99.0  0.36  9.09  6.41 102 9999.0 999.0   8.3 999.0 99.0 99.00
2011 01 01 05 27 999 99.0 99.0  0.36  9.09  6.40 106 9999.0 999.0   8.3 999.0 99.0 99.00
2011 01 01 05 57 999 99.0 99.0  0.37 10.53  6.64 112 9999.0 999.0   8.2 999.0 99.0 99.00
2011 01 01 06 27 999 99.0 99.0  0.38  9.88  6.53 106 9999.0 999.0   8.2 999.0 99.0 99.00
2011 01 01 06 57 999 99.0 99.0  0.37 10.53  6.65 111 9999.0 999.0   8.2 999.0 99.0 99.00
2011 01 01 07 27 999 99.0 99.0  0.38  7.14  6.70 101 9999.0 999.0   8.3 999.0 99.0 99.00
2011 01 01 07 57 999 99.0 99.0  0.36  7.14  6.58 111 9999.0 999.0   8.3 999.0 99.0 99.00
2011 01 01 08 27 999 99.0 99.0  0.37  8.33  6.67 104 9999.0 999.0   8.3 999.0 99.0 99.00
2011 01 01 08 57 999 99.0 99.0  0.37 13.33  6.77 101 9999.0 999.0   8.3 999.0 99.0 99.00
2011 01 01 09 27 999 99.0 99.0  0.36  9.09  6.44 105 9999.0 999.0   8.3 999.0 99.0 99.00
2011 01 01 09 57 999 99.0 99.0  0.37 10.53  6.78 106 9999.0 999.0   8.3 999.0 99.0 99.00
2011 01 01 10 27 999 99.0 99.0  0.37 14.29  6.81 122 9999.0 999.0   8.3 999.0 99.0 99.00
2011 01 01 10 57 999 99.0 99.0  0.35 11.11  6.64 105 9999.0 999.0   8.3 999.0 99.0 99.00
2011 01 01 11 27 999 99.0 99.0  0.34 10.53  6.61 112 9999.0 999.0   8.3 999.0 99.0 99.00
2011 01 01 11 57 999 99.0 99.0  0.35  8.33  6.79 104 9999.0 999.0   8.3 999.0 99.0 99.00
2011 01 01 12 27 999 99.0 99.0  0.35 14.29  6.76 123 9999.0 999.0   8.3 999.0 99.0 99.00
2011 01 01 12 57 999 99.0 99.0  0.33  8.33  6.78 108 9999.0 999.0   8.3 999.0 99.0 99.00
2011 01 01 13 27 999 99.0 99.0  0.34 11.11  6.98 113 9999.0 999.0   8.2 999.0 99.0 99.00
2011 01 01 13 57 999 99.0 99.0  0.32  9.09  6.62 104 9999.0 999.0   8.2 999.0 99.0 99.00
2011 01 01 14 27 999 99.0 99.0  0.34  9.88  6.44 111 9999.0 999.0   8.3 999.0 99.0 99.00
2011 01 01 14 57 999 99.0 99.0  0.31  9.88  6.53 109 9999.0 999.0   8.5 999.0 99.0 99.00
2011 01 01 15 27 999 99.0 99.0  0.33 11.11  6.91 118 9999.0 999.0   8.3 999.0 99.0 99.00
2011 01 01 15 57 999 99.0 99.0  0.32 13.33  6.01 125 9999.0 999.0   8.4 999.0 99.0 99.00
2011 01 01 16 27 999 99.0 99.0  0.37  9.09  5.72 112 9999.0 999.0   8.4 999.0 99.0 99.00
2011 01 01 16 57 999 99.0 99.0  0.45  9.09  5.11 106 9999.0 999.0   8.4 999.0 99.0 99.00
2011 01 01 17 27 999 99.0 99.0  0.54  4.17  4.40 174 9999.0 999.0   8.5 999.0 99.0 99.00
2011 01 01 17 57 999 99.0 99.0  0.56  4.55  4.37 168 9999.0 999.0   8.4 999.0 99.0 99.00
2011 01 01 18 27 999 99.0 99.0  0.65  4.55  4.36 168 9999.0 999.0   8.5 999.0 99.0 99.00
2011 01 01 18 57 999 99.0 99.0  0.68  4.76  4.41 175 9999.0 999.0   8.6 999.0 99.0 99.00
2011 01 01 19 27 999 99.0 99.0  0.73  5.00  4.49 170 9999.0 999.0   8.6 999.0 99.0 99.00
