#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 05 07 20 21 999 99.0 99.0  0.61  9.09  4.37  99 9999.0 999.0  21.7 999.0 99.0 99.00
2008 05 07 20 51 999 99.0 99.0  0.64  9.09  4.10 104 9999.0 999.0  21.7 999.0 99.0 99.00
2008 05 07 21 21 999 99.0 99.0  0.64  9.88  4.16  98 9999.0 999.0  21.7 999.0 99.0 99.00
2008 05 07 21 51 999 99.0 99.0  0.63  6.67  4.11 120 9999.0 999.0  21.7 999.0 99.0 99.00
2008 05 07 22 21 999 99.0 99.0  0.66  9.88  4.01 102 9999.0 999.0  21.7 999.0 99.0 99.00
2008 05 07 22 51 999 99.0 99.0  0.66  9.88  4.31  95 9999.0 999.0  21.6 999.0 99.0 99.00
2008 05 07 23 21 999 99.0 99.0  0.67  9.88  4.35  94 9999.0 999.0  21.6 999.0 99.0 99.00
2008 05 07 23 51 999 99.0 99.0  0.64  6.25  4.31 123 9999.0 999.0  21.6 999.0 99.0 99.00
2008 05 08 00 21 999 99.0 99.0  0.65  6.25  4.07 125 9999.0 999.0  21.5 999.0 99.0 99.00
2008 05 08 00 51 999 99.0 99.0  0.73  6.25  4.03 120 9999.0 999.0  21.5 999.0 99.0 99.00
2008 05 08 01 21 999 99.0 99.0  0.72  9.88  3.92 108 9999.0 999.0  21.5 999.0 99.0 99.00
2008 05 08 01 51 999 99.0 99.0  0.80  2.94  3.76 192 9999.0 999.0  21.4 999.0 99.0 99.00
2008 05 08 02 21 999 99.0 99.0  0.78  3.03  3.72 182 9999.0 999.0  21.4 999.0 99.0 99.00
2008 05 08 02 51 999 99.0 99.0  0.80  3.33  3.56 177 9999.0 999.0  21.3 999.0 99.0 99.00
2008 05 08 03 21 999 99.0 99.0  0.85  3.45  3.67 181 9999.0 999.0  21.3 999.0 99.0 99.00
2008 05 08 03 51 999 99.0 99.0  0.81  3.70  3.66 174 9999.0 999.0  21.3 999.0 99.0 99.00
2008 05 08 04 21 999 99.0 99.0  0.83  4.00  3.63 160 9999.0 999.0  21.2 999.0 99.0 99.00
2008 05 08 04 51 999 99.0 99.0  0.92  4.00  3.90 164 9999.0 999.0  21.2 999.0 99.0 99.00
2008 05 08 05 21 999 99.0 99.0  0.91  4.55  3.87 163 9999.0 999.0  21.2 999.0 99.0 99.00
2008 05 08 05 51 999 99.0 99.0  0.93  4.35  3.90 171 9999.0 999.0  21.2 999.0 99.0 99.00
2008 05 08 06 21 999 99.0 99.0  0.93  4.76  3.86 174 9999.0 999.0  21.2 999.0 99.0 99.00
2008 05 08 06 51 999 99.0 99.0  1.01  5.00  4.00 170 9999.0 999.0  21.2 999.0 99.0 99.00
2008 05 08 07 21 999 99.0 99.0  1.04  5.00  3.96 174 9999.0 999.0  21.2 999.0 99.0 99.00
2008 05 08 07 51 999 99.0 99.0  1.03  5.26  4.07 171 9999.0 999.0  21.1 999.0 99.0 99.00
2008 05 08 08 21 999 99.0 99.0  1.00  4.55  4.05 172 9999.0 999.0  21.1 999.0 99.0 99.00
2008 05 08 08 51 999 99.0 99.0  1.03  5.56  4.07 165 9999.0 999.0  21.1 999.0 99.0 99.00
2008 05 08 09 51 999 99.0 99.0  0.98  5.26  4.15 171 9999.0 999.0  21.1 999.0 99.0 99.00
2008 05 08 10 21 999 99.0 99.0  0.99  5.26  4.03 167 9999.0 999.0  21.1 999.0 99.0 99.00
2008 05 08 11 21 999 99.0 99.0  1.01  5.26  4.16 170 9999.0 999.0  21.2 999.0 99.0 99.00
2008 05 08 11 51 999 99.0 99.0  1.04  5.26  4.19 172 9999.0 999.0  21.2 999.0 99.0 99.00
2008 05 08 12 51 999 99.0 99.0  1.06  5.56  4.13 167 9999.0 999.0  21.2 999.0 99.0 99.00
2008 05 08 13 21 999 99.0 99.0  1.02  5.26  4.18 171 9999.0 999.0  21.3 999.0 99.0 99.00
2008 05 08 13 51 999 99.0 99.0  1.05  5.26  4.22 168 9999.0 999.0  21.3 999.0 99.0 99.00
2008 05 08 14 21 999 99.0 99.0  1.02  5.56  4.30 164 9999.0 999.0  21.3 999.0 99.0 99.00
2008 05 08 14 51 999 99.0 99.0  1.04  5.00  4.18 165 9999.0 999.0  21.4 999.0 99.0 99.00
2008 05 08 15 21 999 99.0 99.0  1.06  5.56  4.08 168 9999.0 999.0  21.4 999.0 99.0 99.00
2008 05 08 15 51 999 99.0 99.0  1.04  5.56  4.10 171 9999.0 999.0  21.5 999.0 99.0 99.00
2008 05 08 16 21 999 99.0 99.0  1.09  5.26  4.26 177 9999.0 999.0  21.5 999.0 99.0 99.00
2008 05 08 16 51 999 99.0 99.0  0.96  5.88  4.11 174 9999.0 999.0  21.5 999.0 99.0 99.00
2008 05 08 17 21 999 99.0 99.0  1.03  5.26  4.37 167 9999.0 999.0  21.5 999.0 99.0 99.00
2008 05 08 17 51 999 99.0 99.0  0.93  5.26  4.20 165 9999.0 999.0  21.6 999.0 99.0 99.00
2008 05 08 18 21 999 99.0 99.0  0.93  5.56  4.48 175 9999.0 999.0  21.6 999.0 99.0 99.00
2008 05 08 18 51 999 99.0 99.0  0.87  6.25  4.41 174 9999.0 999.0  21.6 999.0 99.0 99.00
2008 05 08 19 21 999 99.0 99.0  0.82  5.26  4.47 168 9999.0 999.0  21.7 999.0 99.0 99.00
2008 05 08 19 51 999 99.0 99.0  0.86  5.56  4.44 172 9999.0 999.0  21.7 999.0 99.0 99.00
2008 05 08 20 21 999 99.0 99.0  0.81  5.56  4.18 171 9999.0 999.0  21.5 999.0 99.0 99.00
2008 05 08 20 51 999 99.0 99.0  0.84  5.56  4.42 168 9999.0 999.0  21.6 999.0 99.0 99.00
2008 05 08 21 21 999 99.0 99.0  0.81  5.88  4.30 175 9999.0 999.0  21.6 999.0 99.0 99.00
2008 05 08 21 51 999 99.0 99.0  0.86  5.56  4.33 174 9999.0 999.0  21.6 999.0 99.0 99.00
2008 05 08 22 21 999 99.0 99.0  0.82  5.88  4.09 163 9999.0 999.0  21.5 999.0 99.0 99.00
2008 05 08 22 51 999 99.0 99.0  0.87  5.56  3.97 171 9999.0 999.0  21.4 999.0 99.0 99.00
2008 05 08 23 21 999 99.0 99.0  0.85  5.88  4.05 168 9999.0 999.0  21.5 999.0 99.0 99.00
2008 05 08 23 51 999 99.0 99.0  0.89  5.56  4.09 170 9999.0 999.0  21.5 999.0 99.0 99.00
2008 05 09 00 21 999 99.0 99.0  0.90  5.26  3.81 168 9999.0 999.0  21.6 999.0 99.0 99.00
2008 05 09 00 51 999 99.0 99.0  0.97  5.00  3.88 165 9999.0 999.0  21.5 999.0 99.0 99.00
2008 05 09 01 21 999 99.0 99.0  0.99  5.26  3.92 175 9999.0 999.0  21.5 999.0 99.0 99.00
2008 05 09 01 51 999 99.0 99.0  1.04  5.88  3.95 164 9999.0 999.0  21.5 999.0 99.0 99.00
2008 05 09 02 21 999 99.0 99.0  1.14  5.00  4.19 157 9999.0 999.0  21.5 999.0 99.0 99.00
2008 05 09 02 51 999 99.0 99.0  1.18  5.00  4.12 163 9999.0 999.0  21.4 999.0 99.0 99.00
2008 05 09 03 21 999 99.0 99.0  1.17  5.56  4.17 161 9999.0 999.0  21.4 999.0 99.0 99.00
2008 05 09 03 51 999 99.0 99.0  1.22  5.88  4.28 158 9999.0 999.0  21.3 999.0 99.0 99.00
2008 05 09 04 21 999 99.0 99.0  1.31  5.56  4.31 163 9999.0 999.0  21.2 999.0 99.0 99.00
2008 05 09 04 51 999 99.0 99.0  1.36  5.88  4.38 161 9999.0 999.0  21.2 999.0 99.0 99.00
2008 05 09 05 21 999 99.0 99.0  1.35  5.88  4.50 167 9999.0 999.0  21.2 999.0 99.0 99.00
2008 05 09 05 51 999 99.0 99.0  1.27  6.25  4.33 161 9999.0 999.0  21.1 999.0 99.0 99.00
2008 05 09 06 21 999 99.0 99.0  1.42  6.67  4.58 163 9999.0 999.0  21.0 999.0 99.0 99.00
2008 05 09 06 51 999 99.0 99.0  1.59  6.25  4.82 167 9999.0 999.0  20.9 999.0 99.0 99.00
2008 05 09 07 21 999 99.0 99.0  1.58  6.25  4.69 164 9999.0 999.0  20.8 999.0 99.0 99.00
2008 05 09 07 51 999 99.0 99.0  1.71  6.67  4.82 164 9999.0 999.0  20.7 999.0 99.0 99.00
2008 05 09 08 21 999 99.0 99.0  1.72  7.14  4.68 164 9999.0 999.0  20.6 999.0 99.0 99.00
2008 05 09 08 51 999 99.0 99.0  1.85  7.14  4.90 161 9999.0 999.0  20.6 999.0 99.0 99.00
2008 05 09 09 21 999 99.0 99.0  1.69  7.14  4.84 163 9999.0 999.0  20.6 999.0 99.0 99.00
2008 05 09 09 51 999 99.0 99.0  1.90  7.14  5.07 164 9999.0 999.0  20.5 999.0 99.0 99.00
2008 05 09 10 21 999 99.0 99.0  1.86  7.14  5.07 160 9999.0 999.0  20.5 999.0 99.0 99.00
2008 05 09 10 51 999 99.0 99.0  1.96  7.14  5.26 163 9999.0 999.0  20.5 999.0 99.0 99.00
2008 05 09 11 21 999 99.0 99.0  1.89  7.69  5.05 163 9999.0 999.0  20.5 999.0 99.0 99.00
2008 05 09 11 51 999 99.0 99.0  1.80  7.14  4.99 161 9999.0 999.0  20.5 999.0 99.0 99.00
2008 05 09 12 21 999 99.0 99.0  1.86  7.69  5.10 168 9999.0 999.0  20.5 999.0 99.0 99.00
2008 05 09 12 51 999 99.0 99.0  1.97  7.69  5.19 164 9999.0 999.0  20.5 999.0 99.0 99.00
2008 05 09 13 51 999 99.0 99.0  1.84  7.14  5.09 165 9999.0 999.0  20.6 999.0 99.0 99.00
2008 05 09 14 21 999 99.0 99.0  1.90  7.69  4.99 165 9999.0 999.0  20.6 999.0 99.0 99.00
2008 05 09 14 51 999 99.0 99.0  1.94  7.69  5.03 164 9999.0 999.0  20.7 999.0 99.0 99.00
2008 05 09 15 21 999 99.0 99.0  1.93  7.69  5.05 163 9999.0 999.0  20.7 999.0 99.0 99.00
2008 05 09 15 51 999 99.0 99.0  1.73  8.33  4.93 165 9999.0 999.0  20.8 999.0 99.0 99.00
2008 05 09 16 21 999 99.0 99.0  1.87  5.88  5.14 175 9999.0 999.0  20.8 999.0 99.0 99.00
