YY,MM,DD,hh,mm,WVHT,DPD,APD,MWD,WTMP
2014,3,14,17,40,0.53,9.88,5.98,96,10.5
2014,3,14,18,10,0.54,9.88,5.91,99,10.6
2014,3,14,18,40,0.53,10.53,5.85,102,10.7
2014,3,14,19,10,0.55,9.88,6.04,95,10.8
2014,3,14,19,40,0.57,10.53,6.29,99,10.7
2014,3,14,20,10,0.57,9.88,5.41,96,10.6
2014,3,14,20,40,0.6,9.88,5.15,91,10.6
2014,3,14,21,10,0.57,8.33,4.82,96,10.7
2014,3,14,21,40,0.57,9.88,4.88,89,10.6
2014,3,14,22,10,0.56,9.09,4.41,101,10.6
2014,3,14,22,40,0.55,9.88,4.42,89,10.6
2014,3,14,23,10,0.52,9.88,4.6,94,10.6
2014,3,14,23,40,0.52,9.88,4.7,89,10.5
2014,3,15,0,10,0.49,9.88,4.73,95,10.5
2014,3,15,0,40,0.49,10.53,5.01,99,10.4
2014,3,15,1,10,0.47,11.11,4.97,95,10.3
2014,3,15,1,40,0.46,9.88,4.74,102,10.3
2014,3,15,2,10,0.44,9.88,4.86,96,10.3
2014,3,15,2,40,0.44,9.88,4.86,94,10.4
2014,3,15,3,10,0.44,9.88,4.95,94,10.3
2014,3,15,3,40,0.47,4.76,4.45,132,10.4
2014,3,15,4,10,0.54,4.35,4.07,137,10.3
2014,3,15,4,40,0.57,4.55,3.82,144,10.1
2014,3,15,5,10,0.62,4,3.77,165,10.1
2014,3,15,5,40,0.65,4.35,3.91,164,10.1
2014,3,15,6,10,0.67,4.35,3.83,168,10.1
2014,3,15,6,40,0.65,4.35,3.93,182,10.1
2014,3,15,7,10,0.67,4.17,3.99,182,10.1
2014,3,15,7,40,0.66,4.76,3.99,178,10.1
2014,3,15,8,10,0.66,4.55,4.04,174,10
2014,3,15,8,40,0.7,4.55,4.07,174,10
2014,3,15,9,10,0.81,5.26,4.23,164,10
2014,3,15,9,40,0.94,4.76,4.48,168,10
2014,3,15,10,10,1.03,5.88,4.68,157,10
2014,3,15,10,40,1.05,5.56,4.62,174,10
2014,3,15,11,10,1.13,5.56,4.73,172,10
2014,3,15,11,40,1.06,5.88,4.74,165,10
2014,3,15,12,10,1.09,5.88,4.77,165,10
2014,3,15,12,40,1.01,5.88,4.67,172,10
2014,3,15,13,10,1.05,6.25,4.72,164,10
2014,3,15,13,40,0.96,6.25,4.76,164,10
2014,3,15,14,10,0.97,5.88,4.81,178,10
2014,3,15,14,40,0.86,6.25,4.71,167,10
2014,3,15,15,10,0.9,6.25,4.79,174,10.1
2014,3,15,15,40,0.84,6.25,4.69,168,10.2
2014,3,15,16,10,0.88,6.25,4.65,171,10.3
2014,3,15,16,40,0.82,5.88,4.25,175,10.3
2014,3,15,17,10,0.82,5.88,4.1,175,10.3
2014,3,15,17,40,0.79,6.25,3.95,177,10.4
2014,3,15,18,10,0.79,6.25,3.92,179,10.5
2014,3,15,18,40,0.87,6.25,3.81,168,10.5
2014,3,15,19,10,0.95,5.88,3.79,177,10.5
2014,3,15,19,40,0.93,5.88,3.68,174,10.7
2014,3,15,20,10,0.88,4,3.63,186,10.6
2014,3,15,20,40,0.91,5.88,3.69,175,10.6
2014,3,15,21,10,0.9,5.88,3.7,178,10.5
2014,3,15,21,40,0.93,5.88,3.83,177,10.5
2014,3,15,22,10,0.91,5.56,3.79,178,10.4
2014,3,15,22,40,0.9,5.56,3.66,185,10.4
2014,3,15,23,10,0.79,5.56,3.65,179,10.4
2014,3,15,23,40,0.75,5.56,3.82,179,10.4
2014,3,16,0,10,0.75,5.56,4.05,182,10.4
2014,3,16,0,40,0.73,5.88,4.12,182,10.3
2014,3,16,1,10,0.77,5.88,4.26,191,10.3
2014,3,16,1,40,0.71,5.56,4.34,186,10.3
2014,3,16,2,10,0.72,5.88,4.36,185,10.3
2014,3,16,2,40,0.69,5.56,4.37,181,10.3
2014,3,16,3,10,0.69,5.26,4.54,184,10.3
2014,3,16,3,40,0.66,5.88,4.48,178,10.2
2014,3,16,4,10,0.64,5.88,4.43,172,10.2
2014,3,16,4,40,0.63,6.25,4.55,181,10.2
2014,3,16,5,10,0.62,5.88,4.52,175,10.1
2014,3,16,5,40,0.57,5.88,4.44,168,10.1
2014,3,16,6,10,0.6,5.88,4.6,174,9.9
2014,3,16,6,40,0.6,5.88,4.54,161,9.9
2014,3,16,7,10,0.6,5.56,4.57,167,9.9
2014,3,16,7,40,0.56,5.26,4.5,167,9.9
2014,3,16,8,10,0.59,5.56,4.59,168,9.9
2014,3,16,8,40,0.57,6.25,4.54,154,9.9
2014,3,16,9,10,0.59,5.88,4.76,150,9.9
2014,3,16,9,40,0.56,5.88,4.57,156,9.9
2014,3,16,10,10,0.55,5.26,4.53,167,9.9
2014,3,16,10,40,0.58,5.26,4.51,165,10.1
2014,3,16,11,10,0.58,5.26,4.7,174,10.2
2014,3,16,11,40,0.61,5.56,4.62,165,10.2
2014,3,16,12,10,0.62,5.26,4.71,171,10.2
2014,3,16,12,40,0.59,5.56,4.68,167,10.2
2014,3,16,13,10,0.62,5.56,4.74,172,10.2
2014,3,16,13,40,0.56,5.26,4.65,172,10.2
2014,3,16,14,10,0.57,5.26,4.64,174,10.2
2014,3,16,14,40,0.53,5.26,4.86,175,10.2
2014,3,16,15,10,0.49,5.26,4.73,171,10.3
2014,3,16,15,40,0.5,5.26,4.73,172,10.3
2014,3,16,16,10,0.47,5.88,4.85,161,10.3
