YY,MM,DD,hh,mm,WVHT,DPD,APD,MWD,WTMP
2013,1,1,5,49,0.41,11.11,3.87,88,12
2013,1,1,6,19,0.42,10.53,3.84,84,11.9
2013,1,1,6,49,0.41,11.11,3.94,101,12
2013,1,1,7,19,0.41,11.11,4.03,95,11.9
2013,1,1,7,49,0.39,11.11,3.49,95,11.9
2013,1,1,8,19,0.41,11.11,3.91,96,11.9
2013,1,1,8,49,0.4,11.11,3.73,88,11.9
2013,1,1,9,19,0.46,9.88,3.45,106,11.9
2013,1,1,9,49,0.48,11.11,3.53,102,12
2013,1,1,10,19,0.52,10.53,3.66,99,12
2013,1,1,10,49,0.57,4.35,3.76,178,12
2013,1,1,11,19,0.62,4.76,4.04,182,12
2013,1,1,11,49,0.62,4.35,3.9,181,12
2013,1,1,12,19,0.63,4.76,4.09,179,12
2013,1,1,12,49,0.63,4.76,4.06,181,12.1
2013,1,1,13,19,0.63,5,4.11,179,12.1
2013,1,1,13,49,0.67,5,4.07,179,12.1
2013,1,1,14,19,0.66,5,4.15,181,12.1
2013,1,1,14,49,0.65,5,4.21,184,12.1
2013,1,1,15,19,0.66,4.55,4.37,186,12.1
2013,1,1,15,49,0.63,4.76,4.44,184,12.1
2013,1,1,16,19,0.64,5.26,4.56,182,12.1
2013,1,1,16,49,0.64,5,4.74,184,12.1
2013,1,1,17,19,0.66,5.26,4.79,186,12.1
2013,1,1,17,49,0.66,5.56,4.73,181,12.1
2013,1,1,18,19,0.61,5.56,4.78,182,12
2013,1,1,18,49,0.62,5.26,4.67,188,12
2013,1,1,19,19,0.59,5.88,4.62,179,12
2013,1,1,19,49,0.54,5.56,4.45,178,12
2013,1,1,20,19,0.53,5.56,4.49,178,12
2013,1,1,20,49,0.55,5.56,4.65,179,12
2013,1,1,21,19,0.55,5.26,4.54,179,12
2013,1,1,21,49,0.5,5.56,4.65,179,12
2013,1,1,22,19,0.52,5.56,4.61,171,12
2013,1,1,22,49,0.51,5.56,4.47,177,12
2013,1,1,23,19,0.54,5.56,4.31,174,12
