#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 03 14 17 40 999 99.0 99.0  0.53  9.88  5.98  96 9999.0 999.0  10.5 999.0 99.0 99.00
2014 03 14 18 10 999 99.0 99.0  0.54  9.88  5.91  99 9999.0 999.0  10.6 999.0 99.0 99.00
2014 03 14 18 40 999 99.0 99.0  0.53 10.53  5.85 102 9999.0 999.0  10.7 999.0 99.0 99.00
2014 03 14 19 10 999 99.0 99.0  0.55  9.88  6.04  95 9999.0 999.0  10.8 999.0 99.0 99.00
2014 03 14 19 40 999 99.0 99.0  0.57 10.53  6.29  99 9999.0 999.0  10.7 999.0 99.0 99.00
2014 03 14 20 10 999 99.0 99.0  0.57  9.88  5.41  96 9999.0 999.0  10.6 999.0 99.0 99.00
2014 03 14 20 40 999 99.0 99.0  0.60  9.88  5.15  91 9999.0 999.0  10.6 999.0 99.0 99.00
2014 03 14 21 10 999 99.0 99.0  0.57  8.33  4.82  96 9999.0 999.0  10.7 999.0 99.0 99.00
2014 03 14 21 40 999 99.0 99.0  0.57  9.88  4.88  89 9999.0 999.0  10.6 999.0 99.0 99.00
2014 03 14 22 10 999 99.0 99.0  0.56  9.09  4.41 101 9999.0 999.0  10.6 999.0 99.0 99.00
2014 03 14 22 40 999 99.0 99.0  0.55  9.88  4.42  89 9999.0 999.0  10.6 999.0 99.0 99.00
2014 03 14 23 10 999 99.0 99.0  0.52  9.88  4.60  94 9999.0 999.0  10.6 999.0 99.0 99.00
2014 03 14 23 40 999 99.0 99.0  0.52  9.88  4.70  89 9999.0 999.0  10.5 999.0 99.0 99.00
2014 03 15 00 10 999 99.0 99.0  0.49  9.88  4.73  95 9999.0 999.0  10.5 999.0 99.0 99.00
2014 03 15 00 40 999 99.0 99.0  0.49 10.53  5.01  99 9999.0 999.0  10.4 999.0 99.0 99.00
2014 03 15 01 10 999 99.0 99.0  0.47 11.11  4.97  95 9999.0 999.0  10.3 999.0 99.0 99.00
2014 03 15 01 40 999 99.0 99.0  0.46  9.88  4.74 102 9999.0 999.0  10.3 999.0 99.0 99.00
2014 03 15 02 10 999 99.0 99.0  0.44  9.88  4.86  96 9999.0 999.0  10.3 999.0 99.0 99.00
