YY,MM,DD,hh,mm,WVHT,DPD,APD,MWD,WTMP
2012,1,1,0,21,0.79,7.14,5.2,172,13.5
2012,1,1,0,51,0.8,7.14,5.18,175,13.5
2012,1,1,1,21,0.77,7.14,5.32,171,13.5
2012,1,1,1,51,0.76,6.67,5.31,168,13.5
2012,1,1,2,21,0.74,6.67,5.24,167,13.4
2012,1,1,2,51,0.74,6.67,5.23,171,13.4
2012,1,1,3,21,0.74,6.67,5.33,170,13.4
2012,1,1,3,51,0.7,6.25,5.19,171,13.4
2012,1,1,4,21,0.74,6.67,5.16,174,13.4
2012,1,1,4,51,0.69,6.25,5.17,174,13.4
2012,1,1,5,21,0.64,6.25,5.1,172,13.4
2012,1,1,5,51,0.71,6.25,5.13,178,13.4
2012,1,1,6,21,0.7,6.25,5.13,174,13.4
2012,1,1,6,51,0.69,6.25,5.11,175,13.4
2012,1,1,7,21,0.69,6.25,5.08,181,13.3
2012,1,1,7,51,0.64,5.88,5.09,179,13.3
2012,1,1,8,21,0.64,6.25,5.15,174,13.3
2012,1,1,8,51,0.59,6.25,4.96,178,13.3
2012,1,1,9,21,0.58,6.25,5.09,178,13.3
2012,1,1,9,51,0.56,6.25,5,172,13.3
2012,1,1,10,21,0.57,6.25,5.08,174,13.3
2012,1,1,10,51,0.56,5.88,4.92,178,13.3
2012,1,1,11,21,0.59,5.88,5.06,172,13.3
2012,1,1,11,51,0.52,5.88,4.83,175,13.3
2012,1,1,12,21,0.5,5.56,4.81,178,13.3
2012,1,1,12,51,0.5,5.56,4.91,171,13.3
2012,1,1,13,21,0.5,5.56,4.88,170,13.3
2012,1,1,13,51,0.49,9.09,5.01,127,13.4
2012,1,1,14,21,0.47,5.56,4.83,171,13.4
2012,1,1,14,51,0.46,5.26,4.86,168,13.5
2012,1,1,15,21,0.48,4.76,4.85,174,13.6
2012,1,1,15,51,0.44,5.26,4.87,175,13.7
2012,1,1,16,21,0.46,5.26,4.96,175,13.7
2012,1,1,16,51,0.44,5.26,4.85,174,13.7
2012,1,1,17,21,0.43,9.09,4.98,125,13.7
2012,1,1,17,51,0.43,5.26,4.7,174,13.7
2012,1,1,18,21,0.45,9.88,4.28,127,13.7
2012,1,1,18,51,0.45,9.09,3.7,130,13.7
2012,1,1,19,21,0.49,9.09,3.7,130,13.7
2012,1,1,19,51,0.49,9.09,3.63,127,13.7
2012,1,1,20,21,0.53,9.09,3.38,126,13.6
2012,1,1,20,51,0.55,2.94,3.17,209,13.6
2012,1,1,21,21,0.58,2.94,3.26,210,13.6
2012,1,1,21,51,0.59,3.03,3.22,201,13.6
2012,1,1,22,21,0.59,3.33,3.38,194,13.6
2012,1,1,22,51,0.6,3.23,3.28,194,13.6
2012,1,1,23,21,0.59,3.23,3.28,198,13.6
2012,1,1,23,51,0.59,3.12,3.29,199,13.6
2012,1,2,0,21,0.6,3.33,3.36,188,13.6
2012,1,2,0,51,0.65,3.33,3.37,185,13.6
2012,1,2,1,21,0.76,4.35,3.54,182,13.6
2012,1,2,1,51,0.82,4.35,3.66,181,13.6
2012,1,2,2,21,0.88,4.17,3.68,184,13.6
2012,1,2,2,51,0.99,4.76,3.91,178,13.6
2012,1,2,3,21,1.03,5,3.89,185,13.6
2012,1,2,3,51,1.11,5.56,4.11,178,13.6
2012,1,2,4,21,1.1,4.76,4.16,185,13.6
2012,1,2,4,51,1.19,5.26,4.3,181,13.6
2012,1,2,5,51,1.05,5.88,4.25,179,13.6
2012,1,2,6,21,1.06,6.25,4.36,178,13.6
2012,1,2,8,21,0.98,6.25,4.52,174,13.6
2012,1,2,8,51,0.88,6.67,4.42,174,13.6
2012,1,2,9,21,0.86,6.25,4.02,182,13.6
2012,1,2,9,51,0.88,6.25,3.85,178,13.6
2012,1,2,10,21,0.86,6.67,3.74,184,13.6
2012,1,2,10,51,0.85,6.67,3.69,185,13.6
2012,1,2,11,21,0.79,7.14,3.61,174,13.6
2012,1,2,11,51,0.75,3.23,3.48,345,13.6
2012,1,2,12,21,0.69,3.12,3.4,350,13.6
2012,1,2,12,51,0.68,2.86,3.3,354,13.6
2012,1,2,13,21,0.7,2.86,3.23,351,13.6
2012,1,2,13,51,0.69,3.12,3.22,357,13.6
2012,1,2,14,21,0.6,2.86,3.29,341,13.6
2012,1,2,14,51,0.58,2.78,3.13,344,13.6
2012,1,2,15,51,0.63,3.12,3.18,347,13.6
2012,1,2,16,21,0.6,3.12,3.38,352,13.6
2012,1,2,16,51,0.53,3.03,3.38,5,13.6
2012,1,2,17,21,0.47,6.67,3.61,181,13.6
2012,1,2,17,51,0.48,6.67,3.99,161,13.7
2012,1,2,18,21,0.49,6.25,3.67,171,13.7
2012,1,2,18,51,0.51,6.25,3.39,170,13.7
2012,1,2,19,21,0.48,6.67,3.53,147,13.6
2012,1,2,19,51,0.49,5.88,3.48,161,13.6
2012,1,2,20,21,0.52,6.67,3.57,154,13.6
2012,1,2,20,51,0.55,2.63,3.43,274,13.6
2012,1,2,21,21,0.53,2.7,3.63,260,13.6
2012,1,2,21,51,0.46,6.67,3.67,154,13.6
2012,1,2,22,21,0.51,6.25,3.37,163,13.6
2012,1,2,22,51,0.52,2.56,3.46,272,13.6
2012,1,2,23,21,0.48,6.25,4.07,167,13.5
2012,1,2,23,51,0.46,7.69,4.19,141,13.5
2012,1,3,0,21,0.46,6.67,4.17,158,13.5
2012,1,3,0,51,0.48,6.67,4.32,156,13.5
2012,1,3,1,21,0.45,6.25,4.32,165,13.5
2012,1,3,2,21,0.43,5.88,4.69,165,13.5
2012,1,3,2,51,0.46,6.25,4.44,165,13.5
2012,1,3,3,21,0.49,5.88,3.51,164,13.5
2012,1,3,3,51,0.69,2.86,3.2,355,13.5
2012,1,3,4,21,0.89,3.57,3.4,359,13.5
2012,1,3,4,51,0.92,4,3.47,23,13.4
2012,1,3,5,21,0.95,3.7,3.49,25,13.4
2012,1,3,5,51,1,4.17,3.43,40,13.4
2012,1,3,6,21,1.12,3.57,3.51,359,13.4
2012,1,3,6,51,1.18,4,3.64,4,13.4
2012,1,3,7,21,1.19,4,3.69,9,13.3
2012,1,3,7,51,1.05,3.85,3.5,2,13.3
2012,1,3,8,21,0.91,3.57,3.48,5,13.3
2012,1,3,8,51,0.85,3.23,3.37,350,13.3
2012,1,3,9,21,0.81,3.23,3.24,337,13.2
2012,1,3,9,51,0.88,3.33,3.26,336,13.3
2012,1,3,11,21,1,3.7,3.4,314,13.2
2012,1,3,11,51,1.05,3.7,3.43,314,13.1
2012,1,3,12,21,0.99,3.85,3.38,317,13.1
2012,1,3,12,51,0.93,3.45,3.28,323,13.1
2012,1,3,13,21,1.01,3.45,3.35,316,13.1
2012,1,3,13,51,0.96,3.7,3.31,319,13
2012,1,3,14,21,0.98,3.7,3.37,320,13
2012,1,3,14,51,0.95,3.57,3.38,320,13
2012,1,3,15,21,0.96,3.7,3.4,324,13
2012,1,3,16,21,0.88,3.7,3.35,334,13
2012,1,3,16,51,0.89,3.7,3.37,334,13
2012,1,3,17,21,0.92,3.7,3.42,323,13
2012,1,3,17,51,0.86,3.57,3.35,324,13
2012,1,3,18,21,0.82,3.45,3.31,327,13
2012,1,3,18,51,0.85,3.45,3.25,323,13
2012,1,3,19,21,0.88,3.45,3.31,319,13
2012,1,3,19,51,0.89,3.45,3.25,309,13
2012,1,3,20,21,0.83,3.45,3.29,299,12.9
2012,1,3,20,51,0.89,3.7,3.34,309,12.9
2012,1,3,21,21,0.88,3.7,3.41,302,12.9
2012,1,3,21,51,0.92,3.57,3.36,317,12.9
2012,1,3,22,21,0.93,3.7,3.4,312,12.9
2012,1,3,22,51,0.93,3.33,3.4,319,12.9
2012,1,3,23,21,0.81,3.45,3.24,314,12.9
2012,1,3,23,51,0.7,3.23,3.16,316,12.8
2012,1,4,0,21,0.61,2.86,3.14,307,12.8
2012,1,4,0,51,0.61,2.78,3.16,292,12.8
2012,1,4,1,51,0.61,3.03,3.13,276,12.8
2012,1,4,2,21,0.66,2.86,3.11,289,12.7
2012,1,4,2,51,0.69,2.94,3.14,302,12.7
2012,1,4,3,21,0.69,3.03,3.15,319,12.7
2012,1,4,4,21,0.69,3.23,3.28,340,12.7
2012,1,4,4,51,0.64,3.23,3.36,350,12.6
2012,1,4,5,21,0.62,3.12,3.27,355,12.6
2012,1,4,5,51,0.68,3.03,3.26,351,12.6
2012,1,4,6,21,0.75,3.33,3.36,4,12.6
2012,1,4,6,51,0.74,3.33,3.3,2,12.6
2012,1,4,7,21,0.74,3.23,3.34,8,12.6
2012,1,4,8,21,0.7,10.53,3.54,94,12.6
2012,1,4,8,51,0.71,11.76,3.57,104,12.6
2012,1,4,9,21,0.72,11.11,3.8,92,12.6
2012,1,4,10,51,0.65,11.11,4.05,94,12.6
2012,1,4,11,21,0.69,11.11,4.68,96,12.6
2012,1,4,11,51,0.68,10.53,4.94,92,12.6
2012,1,4,12,21,0.63,11.11,4.77,95,12.5
2012,1,4,13,21,0.61,11.11,5.56,95,12.5
2012,1,4,14,21,0.59,10.53,6.22,95,12.6
2012,1,4,14,51,0.6,10.53,6.54,98,12.6
2012,1,4,15,21,0.62,9.88,6.85,88,12.6
2012,1,4,15,51,0.63,11.76,7.14,99,12.6
2012,1,4,16,21,0.72,10.53,7.63,95,12.6
