YY,MM,DD,hh,mm,WVHT,DPD,APD,MWD,WTMP
2016,1,1,0,6,0.85,7.69,5.49,132,18.7
2016,1,1,0,36,0.81,5.56,5.53,163,18.7
2016,1,1,1,6,0.84,5.88,5.42,150,18.7
2016,1,1,1,36,0.85,7.14,5.59,134,18.7
2016,1,1,2,6,0.8,5.56,5.48,157,18.7
2016,1,1,2,36,0.77,5,5.47,161,18.7
2016,1,1,3,6,0.83,5.88,5.39,163,18.7
2016,1,1,3,36,0.82,7.14,5.45,137,18.7
2016,1,1,4,6,0.8,5.88,5.5,156,18.6
2016,1,1,4,36,0.83,5.88,5.52,160,18.6
2016,1,1,5,6,0.85,5.88,5.51,157,18.6
2016,1,1,5,36,0.91,5.56,5.59,160,18.7
2016,1,1,6,6,0.89,6.25,4.9,147,18.7
2016,1,1,6,36,0.95,5.56,4.55,168,18.7
2016,1,1,7,6,0.9,5.88,4.46,168,18.7
2016,1,1,7,36,0.96,6.25,4.32,171,18.7
2016,1,1,8,6,0.96,6.25,4.16,164,18.7
2016,1,1,8,36,0.99,6.67,4.04,154,18.6
2016,1,1,9,6,1.02,7.14,4.1,147,18.6
2016,1,1,9,36,0.98,6.25,4.02,154,18.6
2016,1,1,10,6,1.05,6.25,4.2,160,18.6
2016,1,1,10,36,1.05,6.67,3.89,153,18.6
2016,1,1,11,6,1.05,6.67,3.99,144,18.5
2016,1,1,11,36,1.1,4.35,4.03,75,18.5
2016,1,1,12,6,1.05,4,4.03,66,18.5
2016,1,1,12,36,1.08,4.55,4.1,73,18.5
2016,1,1,13,6,0.99,4.55,4.1,78,18.5
2016,1,1,13,36,1,4.76,4.1,78,18.6
2016,1,1,14,6,1.02,4.55,4.19,75,18.6
2016,1,1,14,36,1,4.76,4.11,80,18.6
2016,1,1,15,6,0.98,5,4.23,88,18.6
2016,1,1,15,36,0.93,4.35,4.18,74,18.6
2016,1,1,16,6,0.92,7.69,4.44,136,18.6
2016,1,1,16,36,0.85,8.33,4.26,133,18.6
2016,1,1,17,6,0.84,8.33,4.28,129,18.6
2016,1,1,17,36,0.82,8.33,4.26,132,18.6
2016,1,1,18,6,0.79,8.33,4.28,134,18.6
2016,1,1,18,36,0.78,8.33,4.37,130,18.6
2016,1,1,19,6,0.74,7.69,4.25,125,18.7
2016,1,1,19,36,0.8,7.69,4.28,129,18.6
2016,1,1,20,6,0.78,8.33,4.25,133,18.6
2016,1,1,20,36,0.74,6.67,4.11,136,18.6
2016,1,1,21,6,0.78,8.33,4.14,134,18.6
2016,1,1,21,36,0.75,8.33,4.14,132,18.6
2016,1,1,22,6,0.76,8.33,4,125,18.6
2016,1,1,22,36,0.76,8.33,4,126,18.6
2016,1,1,23,6,0.73,7.69,4.12,133,18.6
2016,1,1,23,36,0.72,9.09,4.36,132,18.6
2016,1,2,0,6,0.74,8.33,4.54,132,18.5
2016,1,2,0,36,0.76,8.33,4.41,130,18.6
2016,1,2,1,6,0.74,8.33,3.95,127,18.5
2016,1,2,1,36,0.8,8.33,3.98,133,18.5
2016,1,2,2,6,0.78,7.69,3.93,129,18.5
2016,1,2,2,36,0.84,8.33,4.15,130,18.5
2016,1,2,3,6,0.83,7.69,3.9,136,18.5
2016,1,2,3,36,0.79,7.69,3.98,134,18.5
2016,1,2,4,6,0.8,8.33,4.03,133,18.5
2016,1,2,4,36,0.8,7.69,3.96,129,18.5
2016,1,2,5,6,0.79,8.33,4.01,134,18.5
2016,1,2,5,36,0.75,8.33,3.91,130,18.5
2016,1,2,6,6,0.79,8.33,3.93,137,18.5
2016,1,2,6,36,0.75,9.09,3.89,127,18.4
2016,1,2,7,6,0.76,9.09,3.85,123,18.4
2016,1,2,7,36,0.77,9.09,3.87,123,18.4
2016,1,2,8,6,0.76,8.33,3.88,134,18.4
2016,1,2,8,36,0.78,8.33,3.9,137,18.4
2016,1,2,9,6,0.75,7.69,3.75,130,18.4
2016,1,2,9,36,0.74,7.69,3.75,125,18.4
2016,1,2,10,36,0.8,8.33,3.71,136,18.4
2016,1,2,11,6,0.85,4.17,3.62,64,18.4
2016,1,2,11,36,0.88,4.35,3.52,64,18.3
2016,1,2,12,6,0.85,4,3.65,61,18.3
2016,1,2,12,36,0.85,4.35,3.73,64,18.3
2016,1,2,13,6,0.83,3.7,3.72,54,18.3
2016,1,2,13,36,0.89,4.55,3.8,66,18.3
2016,1,2,14,6,0.87,4,3.67,59,18.3
2016,1,2,14,36,0.82,4,3.63,57,18.3
2016,1,2,15,6,0.8,4.17,3.62,61,18.3
2016,1,2,15,36,0.81,3.85,3.7,54,18.3
2016,1,2,16,6,0.82,3.85,3.73,59,18.3
2016,1,2,16,36,0.77,4,3.77,54,18.3
2016,1,2,17,6,0.75,8.33,3.71,141,18.3
2016,1,2,17,36,0.73,8.33,3.99,127,18.3
2016,1,2,18,6,0.67,8.33,4.07,130,18.3
2016,1,2,18,36,0.64,3.7,4.06,56,18.3
2016,1,2,19,6,0.6,8.33,4.22,134,18.3
2016,1,2,19,36,0.59,8.33,4.36,127,18.3
2016,1,2,20,6,0.54,8.33,4.59,133,18.3
2016,1,2,20,36,0.51,8.33,4.69,129,18.3
2016,1,2,21,6,0.48,8.33,4.73,133,18.3
2016,1,2,21,36,0.51,8.33,5.29,127,18.3
2016,1,2,22,6,0.49,8.33,5.39,129,18.3
2016,1,2,22,36,0.45,8.33,5.64,139,18.3
2016,1,2,23,6,0.45,8.33,5.57,127,18.2
2016,1,2,23,36,0.46,8.33,6.16,127,18.2
2016,1,3,0,6,0.46,8.33,6.32,129,18.2
2016,1,3,0,36,0.43,8.33,6.39,133,18.2
2016,1,3,1,6,0.42,8.33,6.31,130,18.2
2016,1,3,1,36,0.43,9.09,6.43,123,18.2
2016,1,3,2,6,0.45,8.33,5.48,125,18.2
2016,1,3,2,36,0.46,8.33,5.27,129,18.2
2016,1,3,3,36,0.45,8.33,4.88,132,18.2
2016,1,3,4,6,0.49,7.69,4.94,126,18.2
2016,1,3,4,36,0.49,8.33,4.55,136,18.2
2016,1,3,5,6,0.51,8.33,4.97,133,18.2
2016,1,3,5,36,0.53,8.33,4.73,133,18.2
2016,1,3,6,6,0.56,9.09,4.74,129,18.2
2016,1,3,6,36,0.56,8.33,4.74,127,18.2
2016,1,3,7,6,0.52,9.09,4.95,136,18.2
2016,1,3,7,36,0.52,8.33,4.99,136,18.1
2016,1,3,8,6,0.51,9.09,5.42,130,18.1
2016,1,3,8,36,0.48,9.09,5.28,123,18.1
2016,1,3,9,6,0.57,8.33,5.28,132,18.1
2016,1,3,9,36,0.54,9.09,4.53,133,18.1
2016,1,3,10,6,0.55,9.09,4.81,133,18.1
2016,1,3,10,36,0.53,8.33,4.82,126,18.1
2016,1,3,11,6,0.53,8.33,5.15,125,18.1
2016,1,3,11,36,0.54,8.33,5.13,125,18.1
2016,1,3,12,6,0.53,9.09,5.33,132,18
2016,1,3,12,36,0.5,8.33,5.02,129,18.1
2016,1,3,13,6,0.56,9.09,5.31,134,18
2016,1,3,13,36,0.58,8.33,5.32,134,18
2016,1,3,14,6,0.55,8.33,5.16,132,18
2016,1,3,14,36,0.54,9.09,5.16,132,18
2016,1,3,15,6,0.59,9.09,5.36,133,18
2016,1,3,15,36,0.59,9.09,5.74,132,18
2016,1,3,16,6,0.57,9.09,6.02,127,18
2016,1,3,16,36,0.56,9.09,6.47,133,18
2016,1,3,17,6,0.56,9.09,7.13,129,18
2016,1,3,17,36,0.51,8.33,6.96,134,18
2016,1,3,18,6,0.55,9.88,6.19,134,18
2016,1,3,18,36,0.63,9.09,5.96,127,18
2016,1,3,19,6,0.58,9.88,5.91,127,17.9
2016,1,3,19,36,0.59,9.09,6.01,132,17.9
2016,1,3,20,6,0.54,9.88,5.66,132,17.9
2016,1,3,21,6,0.56,9.09,6.53,137,17.9
2016,1,3,21,36,0.58,9.88,6.95,133,17.9
2016,1,3,22,6,0.53,9.88,6.62,141,17.8
2016,1,3,22,36,0.59,9.09,6.64,130,17.8
2016,1,3,23,6,0.54,9.09,6.07,136,17.8
2016,1,3,23,36,0.57,9.09,5.87,134,17.8
