#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 01 01 05 49 999 99.0 99.0  0.41 11.11  3.87  88 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 01 06 19 999 99.0 99.0  0.42 10.53  3.84  84 9999.0 999.0  11.9 999.0 99.0 99.00
2013 01 01 06 49 999 99.0 99.0  0.41 11.11  3.94 101 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 01 07 19 999 99.0 99.0  0.41 11.11  4.03  95 9999.0 999.0  11.9 999.0 99.0 99.00
2013 01 01 07 49 999 99.0 99.0  0.39 11.11  3.49  95 9999.0 999.0  11.9 999.0 99.0 99.00
2013 01 01 08 19 999 99.0 99.0  0.41 11.11  3.91  96 9999.0 999.0  11.9 999.0 99.0 99.00
2013 01 01 08 49 999 99.0 99.0  0.40 11.11  3.73  88 9999.0 999.0  11.9 999.0 99.0 99.00
2013 01 01 09 19 999 99.0 99.0  0.46  9.88  3.45 106 9999.0 999.0  11.9 999.0 99.0 99.00
2013 01 01 09 49 999 99.0 99.0  0.48 11.11  3.53 102 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 01 10 19 999 99.0 99.0  0.52 10.53  3.66  99 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 01 10 49 999 99.0 99.0  0.57  4.35  3.76 178 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 01 11 19 999 99.0 99.0  0.62  4.76  4.04 182 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 01 11 49 999 99.0 99.0  0.62  4.35  3.90 181 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 01 12 19 999 99.0 99.0  0.63  4.76  4.09 179 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 01 12 49 999 99.0 99.0  0.63  4.76  4.06 181 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 01 13 19 999 99.0 99.0  0.63  5.00  4.11 179 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 01 13 49 999 99.0 99.0  0.67  5.00  4.07 179 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 01 14 19 999 99.0 99.0  0.66  5.00  4.15 181 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 01 14 49 999 99.0 99.0  0.65  5.00  4.21 184 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 01 15 19 999 99.0 99.0  0.66  4.55  4.37 186 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 01 15 49 999 99.0 99.0  0.63  4.76  4.44 184 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 01 16 19 999 99.0 99.0  0.64  5.26  4.56 182 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 01 16 49 999 99.0 99.0  0.64  5.00  4.74 184 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 01 17 19 999 99.0 99.0  0.66  5.26  4.79 186 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 01 17 49 999 99.0 99.0  0.66  5.56  4.73 181 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 01 18 19 999 99.0 99.0  0.61  5.56  4.78 182 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 01 18 49 999 99.0 99.0  0.62  5.26  4.67 188 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 01 19 19 999 99.0 99.0  0.59  5.88  4.62 179 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 01 19 49 999 99.0 99.0  0.54  5.56  4.45 178 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 01 20 19 999 99.0 99.0  0.53  5.56  4.49 178 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 01 20 49 999 99.0 99.0  0.55  5.56  4.65 179 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 01 21 19 999 99.0 99.0  0.55  5.26  4.54 179 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 01 21 49 999 99.0 99.0  0.50  5.56  4.65 179 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 01 22 19 999 99.0 99.0  0.52  5.56  4.61 171 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 01 22 49 999 99.0 99.0  0.51  5.56  4.47 177 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 01 23 19 999 99.0 99.0  0.54  5.56  4.31 174 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 01 23 49 999 99.0 99.0  0.56  5.88  4.13 171 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 02 00 19 999 99.0 99.0  0.57  5.88  4.37 175 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 02 00 49 999 99.0 99.0  0.62  5.88  4.72 171 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 02 01 19 999 99.0 99.0  0.63  5.00  4.79 182 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 02 01 49 999 99.0 99.0  0.61  5.56  4.87 182 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 02 02 19 999 99.0 99.0  0.61  5.56  5.06 177 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 02 02 49 999 99.0 99.0  0.68  5.88  5.34 177 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 02 03 19 999 99.0 99.0  0.68  5.88  5.19 179 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 02 03 49 999 99.0 99.0  0.70  5.88  5.28 182 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 02 04 19 999 99.0 99.0  0.72  5.88  5.18 181 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 02 04 49 999 99.0 99.0  0.71  6.25  5.12 175 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 02 05 19 999 99.0 99.0  0.70  5.88  5.27 177 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 02 05 49 999 99.0 99.0  0.74  5.88  5.19 178 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 02 06 19 999 99.0 99.0  0.74  5.88  5.17 181 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 02 06 49 999 99.0 99.0  0.76  6.25  5.19 172 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 02 07 19 999 99.0 99.0  0.76  6.67  5.29 168 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 02 07 49 999 99.0 99.0  0.73  6.25  5.47 177 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 02 08 19 999 99.0 99.0  0.74  5.88  5.44 175 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 02 08 49 999 99.0 99.0  0.72  6.67  5.59 171 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 02 09 19 999 99.0 99.0  0.74  7.14  5.50 168 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 02 10 19 999 99.0 99.0  0.67  6.25  5.21 177 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 02 10 49 999 99.0 99.0  0.76  6.67  5.25 171 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 02 11 19 999 99.0 99.0  0.80  6.25  5.29 178 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 02 11 49 999 99.0 99.0  0.77  6.67  5.19 172 9999.0 999.0  12.0 999.0 99.0 99.00
2013 01 02 12 19 999 99.0 99.0  0.79  6.25  4.67 175 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 02 12 49 999 99.0 99.0  0.80  6.25  4.40 177 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 02 13 19 999 99.0 99.0  0.86  5.88  4.48 179 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 02 13 49 999 99.0 99.0  0.92  6.25  4.33 184 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 02 14 19 999 99.0 99.0  0.99  6.67  4.03 177 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 02 14 49 999 99.0 99.0  1.06  6.25  4.14 177 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 02 15 19 999 99.0 99.0  1.05  6.25  4.00 182 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 02 15 49 999 99.0 99.0  1.06  3.85  3.97  67 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 02 16 19 999 99.0 99.0  1.03  3.85  3.87  64 9999.0 999.0  12.1 999.0 99.0 99.00
2013 01 02 16 49 999 99.0 99.0  1.11  6.67  4.04 179 9999.0 999.0  12.2 999.0 99.0 99.00
