#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 02 01 36 999 99.0 99.0  0.80  8.33  3.98 133 9999.0 999.0  18.5 999.0 99.0 99.00
2016 01 02 02 06 999 99.0 99.0  0.78  7.69  3.93 129 9999.0 999.0  18.5 999.0 99.0 99.00
2016 01 02 02 36 999 99.0 99.0  0.84  8.33  4.15 130 9999.0 999.0  18.5 999.0 99.0 99.00
2016 01 02 03 06 999 99.0 99.0  0.83  7.69  3.90 136 9999.0 999.0  18.5 999.0 99.0 99.00
2016 01 02 03 36 999 99.0 99.0  0.79  7.69  3.98 134 9999.0 999.0  18.5 999.0 99.0 99.00
2016 01 02 04 06 999 99.0 99.0  0.80  8.33  4.03 133 9999.0 999.0  18.5 999.0 99.0 99.00
2016 01 02 04 36 999 99.0 99.0  0.80  7.69  3.96 129 9999.0 999.0  18.5 999.0 99.0 99.00
2016 01 02 05 06 999 99.0 99.0  0.79  8.33  4.01 134 9999.0 999.0  18.5 999.0 99.0 99.00
2016 01 02 05 36 999 99.0 99.0  0.75  8.33  3.91 130 9999.0 999.0  18.5 999.0 99.0 99.00
2016 01 02 06 06 999 99.0 99.0  0.79  8.33  3.93 137 9999.0 999.0  18.5 999.0 99.0 99.00
2016 01 02 06 36 999 99.0 99.0  0.75  9.09  3.89 127 9999.0 999.0  18.4 999.0 99.0 99.00
2016 01 02 07 06 999 99.0 99.0  0.76  9.09  3.85 123 9999.0 999.0  18.4 999.0 99.0 99.00
2016 01 02 07 36 999 99.0 99.0  0.77  9.09  3.87 123 9999.0 999.0  18.4 999.0 99.0 99.00
2016 01 02 08 06 999 99.0 99.0  0.76  8.33  3.88 134 9999.0 999.0  18.4 999.0 99.0 99.00
2016 01 02 08 36 999 99.0 99.0  0.78  8.33  3.90 137 9999.0 999.0  18.4 999.0 99.0 99.00
2016 01 02 09 06 999 99.0 99.0  0.75  7.69  3.75 130 9999.0 999.0  18.4 999.0 99.0 99.00
2016 01 02 09 36 999 99.0 99.0  0.74  7.69  3.75 125 9999.0 999.0  18.4 999.0 99.0 99.00
