YY,MM,DD,hh,mm,WVHT,DPD,APD,MWD,WTMP
2008,5,7,20,21,0.61,9.09,4.37,99,21.7
2008,5,7,20,51,0.64,9.09,4.1,104,21.7
2008,5,7,21,21,0.64,9.88,4.16,98,21.7
2008,5,7,21,51,0.63,6.67,4.11,120,21.7
2008,5,7,22,21,0.66,9.88,4.01,102,21.7
2008,5,7,22,51,0.66,9.88,4.31,95,21.6
2008,5,7,23,21,0.67,9.88,4.35,94,21.6
2008,5,7,23,51,0.64,6.25,4.31,123,21.6
2008,5,8,0,21,0.65,6.25,4.07,125,21.5
2008,5,8,0,51,0.73,6.25,4.03,120,21.5
2008,5,8,1,21,0.72,9.88,3.92,108,21.5
2008,5,8,1,51,0.8,2.94,3.76,192,21.4
2008,5,8,2,21,0.78,3.03,3.72,182,21.4
2008,5,8,2,51,0.8,3.33,3.56,177,21.3
2008,5,8,3,21,0.85,3.45,3.67,181,21.3
2008,5,8,3,51,0.81,3.7,3.66,174,21.3
2008,5,8,4,21,0.83,4,3.63,160,21.2
2008,5,8,4,51,0.92,4,3.9,164,21.2
2008,5,8,5,21,0.91,4.55,3.87,163,21.2
2008,5,8,5,51,0.93,4.35,3.9,171,21.2
2008,5,8,6,21,0.93,4.76,3.86,174,21.2
2008,5,8,6,51,1.01,5,4,170,21.2
2008,5,8,7,21,1.04,5,3.96,174,21.2
2008,5,8,7,51,1.03,5.26,4.07,171,21.1
2008,5,8,8,21,1,4.55,4.05,172,21.1
2008,5,8,8,51,1.03,5.56,4.07,165,21.1
2008,5,8,9,51,0.98,5.26,4.15,171,21.1
2008,5,8,10,21,0.99,5.26,4.03,167,21.1
2008,5,8,11,21,1.01,5.26,4.16,170,21.2
2008,5,8,11,51,1.04,5.26,4.19,172,21.2
2008,5,8,12,51,1.06,5.56,4.13,167,21.2
2008,5,8,13,21,1.02,5.26,4.18,171,21.3
2008,5,8,13,51,1.05,5.26,4.22,168,21.3
2008,5,8,14,21,1.02,5.56,4.3,164,21.3
2008,5,8,14,51,1.04,5,4.18,165,21.4
2008,5,8,15,21,1.06,5.56,4.08,168,21.4
2008,5,8,15,51,1.04,5.56,4.1,171,21.5
2008,5,8,16,21,1.09,5.26,4.26,177,21.5
2008,5,8,16,51,0.96,5.88,4.11,174,21.5
2008,5,8,17,21,1.03,5.26,4.37,167,21.5
2008,5,8,17,51,0.93,5.26,4.2,165,21.6
2008,5,8,18,21,0.93,5.56,4.48,175,21.6
2008,5,8,18,51,0.87,6.25,4.41,174,21.6
2008,5,8,19,21,0.82,5.26,4.47,168,21.7
2008,5,8,19,51,0.86,5.56,4.44,172,21.7
2008,5,8,20,21,0.81,5.56,4.18,171,21.5
2008,5,8,20,51,0.84,5.56,4.42,168,21.6
2008,5,8,21,21,0.81,5.88,4.3,175,21.6
2008,5,8,21,51,0.86,5.56,4.33,174,21.6
2008,5,8,22,21,0.82,5.88,4.09,163,21.5
2008,5,8,22,51,0.87,5.56,3.97,171,21.4
2008,5,8,23,21,0.85,5.88,4.05,168,21.5
2008,5,8,23,51,0.89,5.56,4.09,170,21.5
2008,5,9,0,21,0.9,5.26,3.81,168,21.6
2008,5,9,0,51,0.97,5,3.88,165,21.5
2008,5,9,1,21,0.99,5.26,3.92,175,21.5
2008,5,9,1,51,1.04,5.88,3.95,164,21.5
2008,5,9,2,21,1.14,5,4.19,157,21.5
2008,5,9,2,51,1.18,5,4.12,163,21.4
2008,5,9,3,21,1.17,5.56,4.17,161,21.4
2008,5,9,3,51,1.22,5.88,4.28,158,21.3
2008,5,9,4,21,1.31,5.56,4.31,163,21.2
2008,5,9,4,51,1.36,5.88,4.38,161,21.2
2008,5,9,5,21,1.35,5.88,4.5,167,21.2
2008,5,9,5,51,1.27,6.25,4.33,161,21.1
2008,5,9,6,21,1.42,6.67,4.58,163,21
