#YY  MM DD hh mm WVHT SwH SwP WWH WWP SwD WWD STEEPNESS APD MWD
2025 12 10 14 00  1.9  1.2 13.3  1.4  7.7   N  NE    AVERAGE  8.0 355
2025 12 10 13 30  1.8  1.3 13.3  1.3  9.5 NNW NNE      SWELL  8.3 329
2025 12 10 13 00  1.9  1.3 13.3  1.4  8.0 NNW  NE    AVERAGE  8.0 327
2025 12 10 12 30  1.9  1.2 14.3  1.4  8.0 NNW ENE    AVERAGE  8.0  59
2025 12 10 12 00  2.0  1.5 14.3  1.4  8.3   N  NE      SWELL  8.8 351
2025 12 10 11 30  1.9  1.4 13.3  1.3  8.7  NW  NE      SWELL  8.5 311
2025 12 10 11 00  1.8  1.2 14.3  1.4  7.4   N  NE    AVERAGE  7.9 349
2025 12 10 10 30  2.0  1.4 14.3  1.4  8.3 NNW ENE      SWELL  8.4 330
2025 12 10 10 00  1.8  1.2 10.0  1.3  8.0   N  NE    AVERAGE  8.1 359
2025 12 10 09 30  2.0  1.5 14.3  1.3  8.0 NNW  NE      SWELL  8.6 334
2025 12 10 09 00  1.8  1.2 10.0  1.4  8.0   N  NE    AVERAGE  7.8 356
2025 12 10 08 30  2.0  1.4 13.3  1.4  8.3  NW ENE      SWELL  8.3 321
2025 12 10 08 00  1.9  1.4 14.3  1.4  8.3 NNW  NE      SWELL  8.3 341
2025 12 10 07 30  2.2  1.5 13.3  1.5  8.0 NNW  NE      SWELL  8.5 339
2025 12 10 07 00  2.1  1.4 14.3  1.5  8.3 NNW ENE    AVERAGE  8.3  73
2025 12 10 06 30  1.9  1.3 13.3  1.4  8.3 NNW ENE    AVERAGE  8.3 328
2025 12 10 06 00  1.9  1.2 11.1  1.4  8.0 NNW  NE    AVERAGE  8.2  40
2025 12 10 05 30  1.8  1.3 13.3  1.3  8.0 NNW  NE      SWELL  8.2 333
2025 12 10 05 00  1.9  1.3 14.3  1.3  7.7 NNW  NE      SWELL  8.1 335
2025 12 10 04 30  2.0  1.4 11.8  1.5  9.5   N NNW    AVERAGE  7.8 352
2025 12 10 04 00  1.9  1.3 14.3  1.4  8.7  NW  NE    AVERAGE  7.6 324
2025 12 10 03 30  2.1  1.5 14.3  1.5  7.7 NNW ENE      SWELL  8.1 335
2025 12 10 03 00  1.9  1.2 10.5  1.4  8.7   N ENE    AVERAGE  7.6 357
2025 12 10 02 30  2.2  1.6 11.8  1.5  8.0 NNW  NE      SWELL  8.0 334
2025 12 10 02 00  2.0  1.4 13.3  1.4  8.7   N  NE    AVERAGE  7.8  50
2025 12 10 01 30  2.1  1.5 11.8  1.6  8.0 NNW ENE    AVERAGE  7.9 342
2025 12 10 01 00  2.1  1.4 14.3  1.5  8.7  NW  NE    AVERAGE  7.8 317
2025 12 10 00 30  2.1  1.4 11.8  1.6  8.7 NNW  NE    AVERAGE  7.8 337
2025 12 10 00 00  2.1  1.4 14.3  1.6  8.3 NNW  NE    AVERAGE  7.7 342
2025 12 09 23 30  2.1  1.4 14.3  1.5  8.0 NNW  NE    AVERAGE  7.8 342
2025 12 09 23 00  2.1  1.6 13.3  1.5  8.7 NNW   E      SWELL  8.1 346
2025 12 09 22 30  2.2  1.5 14.3  1.6  8.3 NNW ENE    AVERAGE  8.1 347
2025 12 09 22 00  2.1  1.5 14.3  1.6  7.7 NNW   E    AVERAGE  8.1 335
2025 12 09 21 30  2.0  1.4 11.8  1.5  8.3 NNW   E    AVERAGE  8.0 334
2025 12 09 21 00  2.3  1.7 11.8  1.6  9.5 NNW SSW      SWELL  8.7 330
2025 12 09 20 30  2.1  1.6 13.3  1.4  8.0 NNW ENE      SWELL  8.7 345
2025 12 09 20 00  2.2  1.6 11.8  1.5  7.7   N ENE      SWELL  8.4   7
2025 12 09 19 30  2.2  1.6 13.3  1.5  8.0 NNW ENE      SWELL  8.7 345
2025 12 09 19 00  2.3  1.7 11.1  1.6  8.0  NE  NE      SWELL  8.7  43
