#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 01 00 21 999 99.0 99.0  0.79  7.14  5.20 172 9999.0 999.0  13.5 999.0 99.0 99.00
2012 01 01 00 51 999 99.0 99.0  0.80  7.14  5.18 175 9999.0 999.0  13.5 999.0 99.0 99.00
2012 01 01 01 21 999 99.0 99.0  0.77  7.14  5.32 171 9999.0 999.0  13.5 999.0 99.0 99.00
2012 01 01 01 51 999 99.0 99.0  0.76  6.67  5.31 168 9999.0 999.0  13.5 999.0 99.0 99.00
2012 01 01 02 21 999 99.0 99.0  0.74  6.67  5.24 167 9999.0 999.0  13.4 999.0 99.0 99.00
2012 01 01 02 51 999 99.0 99.0  0.74  6.67  5.23 171 9999.0 999.0  13.4 999.0 99.0 99.00
2012 01 01 03 21 999 99.0 99.0  0.74  6.67  5.33 170 9999.0 999.0  13.4 999.0 99.0 99.00
2012 01 01 03 51 999 99.0 99.0  0.70  6.25  5.19 171 9999.0 999.0  13.4 999.0 99.0 99.00
2012 01 01 04 21 999 99.0 99.0  0.74  6.67  5.16 174 9999.0 999.0  13.4 999.0 99.0 99.00
2012 01 01 04 51 999 99.0 99.0  0.69  6.25  5.17 174 9999.0 999.0  13.4 999.0 99.0 99.00
2012 01 01 05 21 999 99.0 99.0  0.64  6.25  5.10 172 9999.0 999.0  13.4 999.0 99.0 99.00
2012 01 01 05 51 999 99.0 99.0  0.71  6.25  5.13 178 9999.0 999.0  13.4 999.0 99.0 99.00
2012 01 01 06 21 999 99.0 99.0  0.70  6.25  5.13 174 9999.0 999.0  13.4 999.0 99.0 99.00
2012 01 01 06 51 999 99.0 99.0  0.69  6.25  5.11 175 9999.0 999.0  13.4 999.0 99.0 99.00
2012 01 01 07 21 999 99.0 99.0  0.69  6.25  5.08 181 9999.0 999.0  13.3 999.0 99.0 99.00
2012 01 01 07 51 999 99.0 99.0  0.64  5.88  5.09 179 9999.0 999.0  13.3 999.0 99.0 99.00
2012 01 01 08 21 999 99.0 99.0  0.64  6.25  5.15 174 9999.0 999.0  13.3 999.0 99.0 99.00
2012 01 01 08 51 999 99.0 99.0  0.59  6.25  4.96 178 9999.0 999.0  13.3 999.0 99.0 99.00
2012 01 01 09 21 999 99.0 99.0  0.58  6.25  5.09 178 9999.0 999.0  13.3 999.0 99.0 99.00
2012 01 01 09 51 999 99.0 99.0  0.56  6.25  5.00 172 9999.0 999.0  13.3 999.0 99.0 99.00
2012 01 01 10 21 999 99.0 99.0  0.57  6.25  5.08 174 9999.0 999.0  13.3 999.0 99.0 99.00
2012 01 01 10 51 999 99.0 99.0  0.56  5.88  4.92 178 9999.0 999.0  13.3 999.0 99.0 99.00
2012 01 01 11 21 999 99.0 99.0  0.59  5.88  5.06 172 9999.0 999.0  13.3 999.0 99.0 99.00
2012 01 01 11 51 999 99.0 99.0  0.52  5.88  4.83 175 9999.0 999.0  13.3 999.0 99.0 99.00
2012 01 01 12 21 999 99.0 99.0  0.50  5.56  4.81 178 9999.0 999.0  13.3 999.0 99.0 99.00
2012 01 01 12 51 999 99.0 99.0  0.50  5.56  4.91 171 9999.0 999.0  13.3 999.0 99.0 99.00
2012 01 01 13 21 999 99.0 99.0  0.50  5.56  4.88 170 9999.0 999.0  13.3 999.0 99.0 99.00
2012 01 01 13 51 999 99.0 99.0  0.49  9.09  5.01 127 9999.0 999.0  13.4 999.0 99.0 99.00
2012 01 01 14 21 999 99.0 99.0  0.47  5.56  4.83 171 9999.0 999.0  13.4 999.0 99.0 99.00
2012 01 01 14 51 999 99.0 99.0  0.46  5.26  4.86 168 9999.0 999.0  13.5 999.0 99.0 99.00
2012 01 01 15 21 999 99.0 99.0  0.48  4.76  4.85 174 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 01 15 51 999 99.0 99.0  0.44  5.26  4.87 175 9999.0 999.0  13.7 999.0 99.0 99.00
2012 01 01 16 21 999 99.0 99.0  0.46  5.26  4.96 175 9999.0 999.0  13.7 999.0 99.0 99.00
2012 01 01 16 51 999 99.0 99.0  0.44  5.26  4.85 174 9999.0 999.0  13.7 999.0 99.0 99.00
2012 01 01 17 21 999 99.0 99.0  0.43  9.09  4.98 125 9999.0 999.0  13.7 999.0 99.0 99.00
2012 01 01 17 51 999 99.0 99.0  0.43  5.26  4.70 174 9999.0 999.0  13.7 999.0 99.0 99.00
2012 01 01 18 21 999 99.0 99.0  0.45  9.88  4.28 127 9999.0 999.0  13.7 999.0 99.0 99.00
2012 01 01 18 51 999 99.0 99.0  0.45  9.09  3.70 130 9999.0 999.0  13.7 999.0 99.0 99.00
2012 01 01 19 21 999 99.0 99.0  0.49  9.09  3.70 130 9999.0 999.0  13.7 999.0 99.0 99.00
2012 01 01 19 51 999 99.0 99.0  0.49  9.09  3.63 127 9999.0 999.0  13.7 999.0 99.0 99.00
2012 01 01 20 21 999 99.0 99.0  0.53  9.09  3.38 126 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 01 20 51 999 99.0 99.0  0.55  2.94  3.17 209 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 01 21 21 999 99.0 99.0  0.58  2.94  3.26 210 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 01 21 51 999 99.0 99.0  0.59  3.03  3.22 201 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 01 22 21 999 99.0 99.0  0.59  3.33  3.38 194 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 01 22 51 999 99.0 99.0  0.60  3.23  3.28 194 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 01 23 21 999 99.0 99.0  0.59  3.23  3.28 198 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 01 23 51 999 99.0 99.0  0.59  3.12  3.29 199 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 00 21 999 99.0 99.0  0.60  3.33  3.36 188 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 00 51 999 99.0 99.0  0.65  3.33  3.37 185 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 01 21 999 99.0 99.0  0.76  4.35  3.54 182 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 01 51 999 99.0 99.0  0.82  4.35  3.66 181 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 02 21 999 99.0 99.0  0.88  4.17  3.68 184 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 02 51 999 99.0 99.0  0.99  4.76  3.91 178 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 03 21 999 99.0 99.0  1.03  5.00  3.89 185 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 03 51 999 99.0 99.0  1.11  5.56  4.11 178 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 04 21 999 99.0 99.0  1.10  4.76  4.16 185 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 04 51 999 99.0 99.0  1.19  5.26  4.30 181 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 05 51 999 99.0 99.0  1.05  5.88  4.25 179 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 06 21 999 99.0 99.0  1.06  6.25  4.36 178 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 08 21 999 99.0 99.0  0.98  6.25  4.52 174 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 08 51 999 99.0 99.0  0.88  6.67  4.42 174 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 09 21 999 99.0 99.0  0.86  6.25  4.02 182 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 09 51 999 99.0 99.0  0.88  6.25  3.85 178 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 10 21 999 99.0 99.0  0.86  6.67  3.74 184 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 10 51 999 99.0 99.0  0.85  6.67  3.69 185 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 11 21 999 99.0 99.0  0.79  7.14  3.61 174 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 11 51 999 99.0 99.0  0.75  3.23  3.48 345 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 12 21 999 99.0 99.0  0.69  3.12  3.40 350 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 12 51 999 99.0 99.0  0.68  2.86  3.30 354 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 13 21 999 99.0 99.0  0.70  2.86  3.23 351 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 13 51 999 99.0 99.0  0.69  3.12  3.22 357 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 14 21 999 99.0 99.0  0.60  2.86  3.29 341 9999.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 14 51 999 99.0 99.0  0.58  2.78  3.13 344 9999.0 999.0  13.6 999.0 99.0 99.00
