#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 01 00 29 999 99.0 99.0  0.66  4.55  4.30 178 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 00 59 999 99.0 99.0  0.64  5.00  4.33 174 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 01 29 999 99.0 99.0  0.63  4.76  4.40 177 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 01 59 999 99.0 99.0  0.63  4.76  4.49 178 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 02 29 999 99.0 99.0  0.62  5.00  4.48 179 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 02 59 999 99.0 99.0  0.63  4.76  4.36 182 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 03 29 999 99.0 99.0  0.62  4.35  4.11 185 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 03 59 999 99.0 99.0  0.67  5.00  3.98 178 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 04 29 999 99.0 99.0  0.62  5.00  3.96 178 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 04 59 999 99.0 99.0  0.61  5.00  3.94 182 9999.0 999.0  13.1 999.0 99.0 99.00
2017 01 01 05 29 999 99.0 99.0  0.60  5.00  3.96 182 9999.0 999.0  13.2 999.0 99.0 99.00
2017 01 01 05 59 999 99.0 99.0  0.55  4.76  3.87 181 9999.0 999.0  13.2 999.0 99.0 99.00
2017 01 01 06 29 999 99.0 99.0  0.55  4.35  4.10 182 9999.0 999.0  13.2 999.0 99.0 99.00
2017 01 01 06 59 999 99.0 99.0  0.54  5.26  4.29 178 9999.0 999.0  13.1 999.0 99.0 99.00
2017 01 01 07 29 999 99.0 99.0  0.52  9.88  4.46 123 9999.0 999.0  13.1 999.0 99.0 99.00
2017 01 01 07 59 999 99.0 99.0  0.50 10.53  4.59 127 9999.0 999.0  13.1 999.0 99.0 99.00
2017 01 01 08 29 999 99.0 99.0  0.47  4.76  4.53 184 9999.0 999.0  13.1 999.0 99.0 99.00
2017 01 01 08 59 999 99.0 99.0  0.46 10.53  4.67 134 9999.0 999.0  13.1 999.0 99.0 99.00
2017 01 01 09 29 999 99.0 99.0  0.46 10.53  4.70 130 9999.0 999.0  13.1 999.0 99.0 99.00
2017 01 01 10 29 999 99.0 99.0  0.46  9.88  4.67 127 9999.0 999.0  13.2 999.0 99.0 99.00
2017 01 01 10 59 999 99.0 99.0  0.44  9.09  4.80 118 9999.0 999.0  13.2 999.0 99.0 99.00
2017 01 01 11 29 999 99.0 99.0  0.47  9.09  4.88 127 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 11 59 999 99.0 99.0  0.47  9.09  5.00 129 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 12 29 999 99.0 99.0  0.49 10.53  4.73 122 9999.0 999.0  13.2 999.0 99.0 99.00
2017 01 01 12 59 999 99.0 99.0  0.51  4.76  3.98 171 9999.0 999.0  13.2 999.0 99.0 99.00
2017 01 01 13 29 999 99.0 99.0  0.53  4.76  3.49 168 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 13 59 999 99.0 99.0  0.52  5.00  3.73 161 9999.0 999.0  13.1 999.0 99.0 99.00
2017 01 01 14 29 999 99.0 99.0  0.49  4.76  3.92 168 9999.0 999.0  13.1 999.0 99.0 99.00
2017 01 01 14 59 999 99.0 99.0  0.47  9.88  4.23 132 9999.0 999.0  13.1 999.0 99.0 99.00
2017 01 01 15 29 999 99.0 99.0  0.43  4.76  4.55 161 9999.0 999.0  13.0 999.0 99.0 99.00
2017 01 01 15 59 999 99.0 99.0  0.40 11.11  4.78 132 9999.0 999.0  13.1 999.0 99.0 99.00
2017 01 01 16 29 999 99.0 99.0  0.39  9.88  5.04 136 9999.0 999.0  13.0 999.0 99.0 99.00
2017 01 01 16 59 999 99.0 99.0  0.38  9.88  5.16 144 9999.0 999.0  13.0 999.0 99.0 99.00
2017 01 01 17 29 999 99.0 99.0  0.38  9.88  5.45 151 9999.0 999.0  13.0 999.0 99.0 99.00
2017 01 01 17 59 999 99.0 99.0  0.37 10.53  5.35 134 9999.0 999.0  13.0 999.0 99.0 99.00
2017 01 01 18 29 999 99.0 99.0  0.36 10.53  5.47 141 9999.0 999.0  13.0 999.0 99.0 99.00
2017 01 01 18 59 999 99.0 99.0  0.34  9.88  5.32 137 9999.0 999.0  13.0 999.0 99.0 99.00
2017 01 01 19 29 999 99.0 99.0  0.36  9.88  5.71 141 9999.0 999.0  13.0 999.0 99.0 99.00
2017 01 01 19 59 999 99.0 99.0  0.36  9.88  5.61 129 9999.0 999.0  13.0 999.0 99.0 99.00
2017 01 01 20 29 999 99.0 99.0  0.43  9.09  5.87 133 9999.0 999.0  13.0 999.0 99.0 99.00
2017 01 01 20 59 999 99.0 99.0  0.48  5.56  6.00 167 9999.0 999.0  13.0 999.0 99.0 99.00
2017 01 01 21 29 999 99.0 99.0  0.44  5.56  5.55 164 9999.0 999.0  13.0 999.0 99.0 99.00
2017 01 01 21 59 999 99.0 99.0  0.49  5.56  5.95 165 9999.0 999.0  13.0 999.0 99.0 99.00
2017 01 01 22 29 999 99.0 99.0  0.49  5.56  5.78 170 9999.0 999.0  13.0 999.0 99.0 99.00
2017 01 01 22 59 999 99.0 99.0  0.53  5.56  5.71 171 9999.0 999.0  13.0 999.0 99.0 99.00
2017 01 01 23 29 999 99.0 99.0  0.52  5.88  5.67 161 9999.0 999.0  13.0 999.0 99.0 99.00
2017 01 01 23 59 999 99.0 99.0  0.54  5.56  5.22 172 9999.0 999.0  13.1 999.0 99.0 99.00
2017 01 02 00 29 999 99.0 99.0  0.60  5.56  4.85 171 9999.0 999.0  13.1 999.0 99.0 99.00
2017 01 02 00 59 999 99.0 99.0  0.64  5.56  4.32 171 9999.0 999.0  13.0 999.0 99.0 99.00
2017 01 02 01 29 999 99.0 99.0  0.67  5.26  4.18 170 9999.0 999.0  13.0 999.0 99.0 99.00
2017 01 02 01 59 999 99.0 99.0  0.72  5.00  3.93 178 9999.0 999.0  13.0 999.0 99.0 99.00
2017 01 02 02 29 999 99.0 99.0  0.77  5.56  3.83 170 9999.0 999.0  13.0 999.0 99.0 99.00
2017 01 02 02 59 999 99.0 99.0  0.80  5.26  3.75 171 9999.0 999.0  13.1 999.0 99.0 99.00
2017 01 02 03 29 999 99.0 99.0  0.78  3.12  3.74  78 9999.0 999.0  13.2 999.0 99.0 99.00
2017 01 02 03 59 999 99.0 99.0  0.80  3.57  3.92 104 9999.0 999.0  13.2 999.0 99.0 99.00
2017 01 02 04 29 999 99.0 99.0  0.85  3.57  3.97  92 9999.0 999.0  13.2 999.0 99.0 99.00
2017 01 02 04 59 999 99.0 99.0  0.85  3.70  3.95  95 9999.0 999.0  13.2 999.0 99.0 99.00
2017 01 02 05 29 999 99.0 99.0  0.93  6.25  4.10 164 9999.0 999.0  13.2 999.0 99.0 99.00
2017 01 02 05 59 999 99.0 99.0  1.01  4.35  4.23 122 9999.0 999.0  13.2 999.0 99.0 99.00
2017 01 02 06 29 999 99.0 99.0  1.09  5.00  4.28 126 9999.0 999.0  13.2 999.0 99.0 99.00
2017 01 02 06 59 999 99.0 99.0  1.11  5.00  4.35 123 9999.0 999.0  13.2 999.0 99.0 99.00
2017 01 02 07 29 999 99.0 99.0  1.11  5.26  4.49 125 9999.0 999.0  13.2 999.0 99.0 99.00
2017 01 02 07 59 999 99.0 99.0  1.16  5.88  4.59 139 9999.0 999.0  13.2 999.0 99.0 99.00
2017 01 02 08 29 999 99.0 99.0  1.21  5.56  4.70 129 9999.0 999.0  13.2 999.0 99.0 99.00
2017 01 02 08 59 999 99.0 99.0  1.11  5.88  4.59 132 9999.0 999.0  13.2 999.0 99.0 99.00
2017 01 02 09 29 999 99.0 99.0  1.09  5.56  4.60 133 9999.0 999.0  13.2 999.0 99.0 99.00
2017 01 02 09 59 999 99.0 99.0  1.16  5.88  4.78 126 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 02 10 29 999 99.0 99.0  1.12  5.88  4.79 133 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 02 10 59 999 99.0 99.0  1.22  5.88  4.84 133 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 02 11 29 999 99.0 99.0  1.10  5.88  4.85 141 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 02 11 59 999 99.0 99.0  1.20  5.88  4.77 143 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 02 12 29 999 99.0 99.0  1.18  6.25  4.63 147 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 02 12 59 999 99.0 99.0  1.21  6.25  4.70 164 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 02 13 29 999 99.0 99.0  1.29  6.67  4.98 160 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 02 13 59 999 99.0 99.0  1.26  6.67  4.95 167 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 02 14 29 999 99.0 99.0  1.27  6.25  5.08 160 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 02 14 59 999 99.0 99.0  1.32  6.67  5.19 153 9999.0 999.0  13.5 999.0 99.0 99.00
2017 01 02 15 29 999 99.0 99.0  1.31  6.25  5.10 149 9999.0 999.0  13.5 999.0 99.0 99.00
2017 01 02 15 59 999 99.0 99.0  1.32  6.67  5.11 160 9999.0 999.0  13.6 999.0 99.0 99.00
2017 01 02 16 29 999 99.0 99.0  1.25  6.67  5.32 157 9999.0 999.0  13.6 999.0 99.0 99.00
2017 01 02 16 59 999 99.0 99.0  1.25  6.67  5.28 157 9999.0 999.0  13.7 999.0 99.0 99.00
