YY,MM,DD,hh,mm,WVHT,DPD,APD,MWD,WTMP
2018,1,3,1,59,0.86,10.53,4.44,99,9.8
2018,1,3,2,29,0.85,5,4.3,89,9.8
2018,1,3,3,29,0.84,4.76,3.98,81,9.8
2018,1,3,4,29,0.82,4.76,4.03,87,9.7
2018,1,3,4,59,0.83,4.17,3.82,82,9.7
2018,1,3,5,29,0.86,9.09,3.84,101,9.7
2018,1,3,5,59,0.96,3.85,3.8,71,9.6
2018,1,3,6,29,0.96,4.35,3.89,80,9.6
2018,1,3,6,59,1,4,3.85,75,9.6
2018,1,3,7,29,1.05,4.35,3.97,80,9.6
2018,1,3,7,59,1.03,4.76,3.94,81,9.6
2018,1,3,8,29,1.02,4.55,3.89,80,9.6
2018,1,3,8,59,1.12,4.55,3.9,84,9.6
2018,1,3,9,29,1.16,4.55,3.92,80,9.6
2018,1,3,9,59,1.19,4.76,3.96,81,9.6
2018,1,3,10,29,1.27,4.76,4.06,80,9.7
2018,1,3,10,59,1.33,5,4.12,78,9.7
2018,1,3,11,29,1.48,5.26,4.23,81,9.7
2018,1,3,11,59,1.49,5.26,4.31,80,9.7
2018,1,3,12,29,1.41,5.26,4.31,81,9.7
2018,1,3,12,59,1.42,5.56,4.48,82,9.7
2018,1,3,13,29,1.44,5.56,4.41,81,9.7
2018,1,3,13,59,1.35,5.56,4.39,75,9.7
2018,1,3,14,29,1.4,5.26,4.42,77,9.7
2018,1,3,14,59,1.42,5.56,4.4,74,9.7
2018,1,3,15,29,1.35,5.56,4.39,78,9.6
2018,1,3,15,59,1.3,5.88,4.46,81,9.6
2018,1,3,16,29,1.32,5.88,4.5,82,9.6
2018,1,3,16,59,1.22,5.88,4.48,82,9.6
2018,1,3,17,29,1.25,5.88,4.52,78,9.6
2018,1,3,17,59,1.21,5.56,4.55,80,9.6
2018,1,3,18,29,1.16,5.88,4.42,84,9.6
2018,1,3,19,29,1.18,6.25,4.32,89,9.6
2018,1,3,19,59,1.23,6.67,4.35,92,9.6
2018,1,3,20,29,1.26,6.25,4.27,98,9.6
2018,1,3,20,59,1.27,7.14,4.25,95,9.6
2018,1,3,21,29,1.32,5.88,4.29,88,9.6
2018,1,3,21,59,1.37,5.56,4.3,85,9.7
2018,1,3,22,29,1.35,6.25,4.25,87,9.7
2018,1,3,23,29,1.43,6.25,4.22,85,9.7
2018,1,3,23,59,1.5,4.17,4.24,2,9.7
2018,1,4,0,29,1.53,4.35,4.24,15,9.7
2018,1,4,0,59,1.56,4,4.28,4,9.8
2018,1,4,1,29,1.6,4.35,4.37,18,9.8
2018,1,4,1,59,1.47,4.17,4.23,9,9.7
2018,1,4,2,29,1.54,4.35,4.08,14,9.7
2018,1,4,3,29,1.58,4.35,4.11,5,9.6
2018,1,4,3,59,1.52,4.55,4.1,15,9.5
2018,1,4,4,29,1.36,4.17,3.78,4,9.5
2018,1,4,4,59,1.52,4,3.84,345,9.5
2018,1,4,5,29,1.43,4.17,3.85,355,9.4
2018,1,4,5,59,1.42,4.17,3.71,334,9.4
2018,1,4,6,29,1.38,4.35,3.82,327,9.4
2018,1,4,7,29,1.03,3.85,3.53,340,9.3
2018,1,4,7,59,1.02,4,3.48,345,9.3
2018,1,4,8,29,1.06,3.85,3.49,330,9.3
2018,1,4,8,59,1.08,3.85,3.62,313,9.3
2018,1,4,9,29,1.17,4,3.79,312,9.3
2018,1,4,9,59,1.19,3.85,3.99,310,9.3
2018,1,4,10,29,1.17,10.53,4.16,115,9.3
2018,1,4,11,29,1.04,10.53,4.13,112,9.4
2018,1,4,11,59,1.09,11.11,4.13,112,9.4
2018,1,4,12,29,1.09,11.11,4.41,112,9.4
2018,1,4,12,59,0.95,11.11,4.12,116,9.4
2018,1,4,13,29,0.87,11.11,3.95,125,9.4
2018,1,4,13,59,0.79,11.11,3.77,115,9.5
2018,1,4,14,29,0.73,10.53,3.55,122,9.4
2018,1,4,15,29,0.73,11.11,3.49,108,9.4
2018,1,4,16,29,0.68,11.11,3.43,118,9.4
2018,1,4,16,59,0.66,11.76,3.54,118,9.4
2018,1,4,17,29,0.7,9.88,3.48,118,9.4
2018,1,4,17,59,0.74,11.11,3.52,127,9.3
2018,1,4,18,29,0.68,11.11,3.57,112,9.3
2018,1,4,18,59,0.73,11.11,3.43,109,9.3
2018,1,4,19,29,0.71,3.12,3.36,284,9.2
2018,1,4,19,59,0.82,10.53,3.46,126,9.3
2018,1,4,20,29,0.78,9.88,3.36,140,9.3
2018,1,4,20,59,0.84,3.23,3.44,298,9.3
2018,1,4,21,29,0.78,3.23,3.46,303,9.2
2018,1,4,21,59,0.74,10.53,3.55,119,9.2
2018,1,4,22,29,0.78,10.53,3.59,106,9.2
2018,1,4,23,29,0.69,2.86,3.68,291,9.1
2018,1,4,23,59,0.73,3.03,3.52,289,9.1
2018,1,5,0,29,0.83,3.12,3.52,303,9.1
