YY,MM,DD,hh,mm,WVHT,DPD,APD,MWD,WTMP
2011,1,1,0,27,0.37,8.33,6.28,99,8.7
2011,1,1,0,57,0.36,9.88,6.33,105,8.6
2011,1,1,1,27,0.36,13.33,6.45,108,8.6
2011,1,1,1,57,0.34,11.76,6.4,96,8.5
2011,1,1,2,27,0.34,12.5,6.41,104,8.5
2011,1,1,2,57,0.34,13.33,6.54,118,8.4
2011,1,1,3,27,0.35,13.33,6.51,116,8.4
2011,1,1,3,57,0.35,10.53,6.54,101,8.4
2011,1,1,4,27,0.35,9.09,6.47,102,8.3
2011,1,1,4,57,0.36,9.09,6.41,102,8.3
2011,1,1,5,27,0.36,9.09,6.4,106,8.3
2011,1,1,5,57,0.37,10.53,6.64,112,8.2
2011,1,1,6,27,0.38,9.88,6.53,106,8.2
2011,1,1,6,57,0.37,10.53,6.65,111,8.2
2011,1,1,7,27,0.38,7.14,6.7,101,8.3
2011,1,1,7,57,0.36,7.14,6.58,111,8.3
2011,1,1,8,27,0.37,8.33,6.67,104,8.3
2011,1,1,8,57,0.37,13.33,6.77,101,8.3
2011,1,1,9,27,0.36,9.09,6.44,105,8.3
2011,1,1,9,57,0.37,10.53,6.78,106,8.3
2011,1,1,10,27,0.37,14.29,6.81,122,8.3
2011,1,1,10,57,0.35,11.11,6.64,105,8.3
2011,1,1,11,27,0.34,10.53,6.61,112,8.3
2011,1,1,11,57,0.35,8.33,6.79,104,8.3
2011,1,1,12,27,0.35,14.29,6.76,123,8.3
2011,1,1,12,57,0.33,8.33,6.78,108,8.3
2011,1,1,13,27,0.34,11.11,6.98,113,8.2
2011,1,1,13,57,0.32,9.09,6.62,104,8.2
2011,1,1,14,27,0.34,9.88,6.44,111,8.3
2011,1,1,14,57,0.31,9.88,6.53,109,8.5
2011,1,1,15,27,0.33,11.11,6.91,118,8.3
2011,1,1,15,57,0.32,13.33,6.01,125,8.4
2011,1,1,16,27,0.37,9.09,5.72,112,8.4
2011,1,1,16,57,0.45,9.09,5.11,106,8.4
2011,1,1,17,27,0.54,4.17,4.4,174,8.5
2011,1,1,17,57,0.56,4.55,4.37,168,8.4
2011,1,1,18,27,0.65,4.55,4.36,168,8.5
2011,1,1,18,57,0.68,4.76,4.41,175,8.6
2011,1,1,19,27,0.73,5,4.49,170,8.6
2011,1,1,19,57,0.78,5,4.44,168,8.7
2011,1,1,20,27,0.75,5,4.44,177,8.8
2011,1,1,20,57,0.79,5.26,4.62,172,8.8
2011,1,1,21,27,0.84,5,4.59,174,8.8
2011,1,1,21,57,0.76,5.26,4.49,181,8.8
2011,1,1,22,27,0.82,5,4.56,175,8.7
