YY,MM,DD,hh,mm,WVHT,DPD,APD,MWD,WTMP
2025,12,11,21,30,1.4,9,7.1,83,29.5
2025,12,11,21,0,1.5,13,7.7,320,29.4
2025,12,11,20,30,1.5,14,8.1,325,29.3
2025,12,11,20,0,1.5,14,7.9,323,29.3
2025,12,11,19,30,1.5,8,7.8,68,29.3
2025,12,11,19,0,1.4,14,8.1,322,29.3
2025,12,11,18,30,1.6,14,8.4,325,29.2
2025,12,11,18,0,1.5,14,8.2,329,29.2
2025,12,11,17,30,1.5,14,8.1,323,29.3
2025,12,11,17,0,1.6,14,8.2,321,29.3
2025,12,11,16,30,1.6,14,8.4,329,29.3
2025,12,11,16,0,1.5,11,8.1,9,29.3
2025,12,11,15,30,1.5,11,8.2,357,29.3
2025,12,11,15,0,1.5,14,8.2,326,29.3
2025,12,11,14,30,1.5,8,8,66,29.3
2025,12,11,14,0,1.5,14,8.4,327,29.3
2025,12,11,13,30,1.5,8,8.2,55,29.3
2025,12,11,13,0,1.5,14,8.6,328,29.3
2025,12,11,12,30,1.5,14,8.1,329,29.3
2025,12,11,12,0,1.5,13,8.1,351,29.4
2025,12,11,11,30,1.7,14,8.4,333,29.4
2025,12,11,11,0,1.5,9,8,48,29.4
2025,12,11,10,30,1.6,14,8.4,332,29.4
2025,12,11,10,0,1.5,11,8,348,29.4
2025,12,11,9,30,1.6,15,8.2,327,29.4
2025,12,11,9,0,1.7,13,8.3,339,29.4
2025,12,11,8,30,1.5,13,7.9,343,29.3
2025,12,11,8,0,1.6,13,7.9,353,29.4
2025,12,11,7,30,1.5,12,7.7,333,29.4
2025,12,11,7,0,1.7,8,8.1,50,29.4
2025,12,11,6,30,1.6,8,7.3,51,29.4
2025,12,11,6,0,1.6,8,7.3,53,29.4
2025,12,11,5,30,1.8,12,7.5,325,29.4
2025,12,11,5,0,1.7,8,7.4,55,29.4
2025,12,11,4,30,1.7,8,7,67,29.4
2025,12,11,4,0,1.6,9,7.1,38,29.4
2025,12,11,3,30,1.6,13,7.2,338,29.4
2025,12,11,3,0,1.8,13,7.5,331,29.4
2025,12,11,2,30,1.7,13,7.3,337,29.4
2025,12,11,2,0,1.8,12,7.1,344,29.4
2025,12,11,1,30,1.7,9,7.1,53,29.5
2025,12,11,1,0,1.7,13,6.8,354,29.4
