YY,MM,DD,hh,mm,WVHT,DPD,APD,MWD,WTMP
2010,1,1,0,27,1.19,8.33,5.8,120,11.8
2010,1,1,0,57,1.15,7.69,5.89,132,11.8
2010,1,1,1,27,1.12,7.14,5.78,147,11.7
2010,1,1,1,57,1.05,7.14,5.61,143,11.7
2010,1,1,2,27,0.99,6.67,5.58,151,11.7
2010,1,1,2,57,1.01,7.14,5.69,158,11.7
2010,1,1,3,27,1.03,7.14,5.74,151,11.7
2010,1,1,3,57,0.97,7.69,5.67,136,11.6
2010,1,1,4,27,0.95,7.69,5.68,132,11.6
2010,1,1,4,57,0.94,7.69,5.74,132,11.6
2010,1,1,5,27,0.94,7.69,5.8,129,11.6
2010,1,1,5,57,0.91,8.33,5.81,123,11.6
2010,1,1,6,27,0.9,7.14,5.85,133,11.6
2010,1,1,6,57,0.91,7.14,5.95,130,11.6
2010,1,1,7,27,0.9,7.14,5.93,129,11.6
2010,1,1,7,57,0.97,7.14,5.98,129,11.5
2010,1,1,8,27,0.97,7.14,6.03,129,11.5
2010,1,1,8,57,0.92,6.67,5.96,140,11.5
2010,1,1,9,27,0.97,7.14,5.88,129,11.5
2010,1,1,9,57,0.92,7.69,5.87,129,11.5
2010,1,1,10,27,1,7.69,6.02,130,11.5
2010,1,1,10,57,0.91,7.14,5.34,130,11.5
2010,1,1,11,27,0.92,7.14,5.28,137,11.5
2010,1,1,11,57,1.05,6.67,5.28,147,11.5
2010,1,1,12,27,0.99,7.69,4.92,123,11.5
2010,1,1,12,57,0.94,7.14,4.85,141,11.5
2010,1,1,13,27,0.95,7.69,4.93,133,11.5
2010,1,1,13,57,0.91,7.69,4.84,134,11.5
2010,1,1,14,27,0.91,7.14,5,154,11.5
2010,1,1,14,57,0.83,7.69,4.58,125,11.5
2010,1,1,15,27,0.79,7.69,4.41,143,11.5
2010,1,1,15,57,0.81,7.14,4.69,149,11.6
2010,1,1,16,27,0.77,7.14,4.6,150,11.6
