YY,MM,DD,hh,mm,WVHT,DPD,APD,MWD,WTMP
2009,1,1,0,51,0.9,3.85,3.47,22,13.7
2009,1,1,1,21,0.97,4.17,3.58,30,13.6
2009,1,1,1,51,0.92,4.35,3.47,33,13.5
2009,1,1,2,21,0.83,3.7,3.33,25,13.6
2009,1,1,2,51,0.83,3.33,3.17,350,13.6
2009,1,1,3,21,0.88,3.33,3.22,343,13.5
2009,1,1,3,51,0.86,3.57,3.23,1,13.5
2009,1,1,4,21,0.82,3.45,3.18,359,13.5
2009,1,1,4,51,0.82,3.33,3.14,357,13.5
2009,1,1,5,21,0.81,3.33,3.1,357,13.4
2009,1,1,5,51,0.86,3.7,3.27,14,13.4
2009,1,1,6,21,0.92,3.7,3.38,19,13.4
2009,1,1,6,51,1.02,4,3.56,30,13.4
2009,1,1,7,21,1,4.17,3.5,33,13.3
2009,1,1,7,51,0.97,4.35,3.49,43,13.3
2009,1,1,8,21,1,4,3.45,42,13.2
2009,1,1,8,51,0.93,4.35,3.4,50,13.2
2009,1,1,9,21,1.05,4.55,3.51,54,13.2
2009,1,1,9,51,1.02,4.17,3.47,49,13.1
2009,1,1,10,21,1.06,4.35,3.6,50,13.1
2009,1,1,10,51,1.05,4.17,3.63,47,13
2009,1,1,11,21,1.07,4.17,3.71,49,13
2009,1,1,11,51,1.06,4.55,3.81,54,13
2009,1,1,12,21,1.12,4.76,3.79,54,13
2009,1,1,12,51,1.03,4.76,3.78,54,13
2009,1,1,13,21,1.05,4.35,3.78,51,13
2009,1,1,13,51,1,4.35,3.74,56,13
2009,1,1,14,21,1.01,4.35,3.75,53,12.9
2009,1,1,14,51,0.98,4.76,3.69,56,12.8
2009,1,1,15,51,0.98,4.55,3.89,57,12.8
2009,1,1,16,21,1,4.55,3.9,63,12.7
2009,1,1,16,51,0.92,4.35,3.99,60,12.7
2009,1,1,17,21,0.89,4.76,4.12,67,12.7
2009,1,1,17,51,0.86,5.26,4.17,77,12.7
2009,1,1,18,21,0.81,4.76,4.27,70,12.6
2009,1,1,18,51,0.79,5.88,4.45,80,12.6
2009,1,1,19,21,0.75,5.88,4.56,84,12.6
2009,1,1,19,51,0.71,6.25,4.62,85,12.6
2009,1,1,20,21,0.7,5.88,4.62,84,12.6
2009,1,1,20,51,0.68,6.25,4.8,82,12.6
2009,1,1,21,21,0.63,5.88,4.82,87,12.5
2009,1,1,21,51,0.62,5.88,4.88,82,12.5
2009,1,1,22,21,0.63,10.53,5.06,102,12.5
2009,1,1,22,51,0.62,11.11,5.23,95,12.5
2009,1,1,23,21,0.62,10.53,5.24,101,12.5
2009,1,1,23,51,0.62,11.76,5.3,106,12.5
2009,1,2,0,21,0.65,11.76,5.39,92,12.5
2009,1,2,0,51,0.62,12.5,5.42,88,12.5
2009,1,2,1,21,0.63,13.33,5.7,95,12.5
2009,1,2,1,51,0.64,12.5,5.5,92,12.5
2009,1,2,2,21,0.6,12.5,5.37,99,12.4
2009,1,2,2,51,0.65,11.76,5.69,102,12.4
2009,1,2,3,21,0.66,12.5,5.72,88,12.4
2009,1,2,3,51,0.62,11.76,5.39,92,12.4
2009,1,2,4,21,0.61,11.76,5.14,101,12.4
2009,1,2,4,51,0.65,12.5,5.46,101,12.4
2009,1,2,5,21,0.69,12.5,5.3,92,12.4
2009,1,2,5,51,0.69,13.33,5.21,106,12.4
2009,1,2,6,21,0.71,12.5,5.48,104,12.4
2009,1,2,6,51,0.66,12.5,5.37,95,12.3
2009,1,2,7,21,0.62,14.29,5.18,99,12.3
2009,1,2,7,51,0.65,11.76,5.51,92,12.3
2009,1,2,8,21,0.69,11.76,5.93,101,12.3
2009,1,2,8,51,0.72,11.76,6.09,98,12.3
2009,1,2,9,21,0.68,11.76,6.01,102,12.3
2009,1,2,9,51,0.71,11.76,5.74,98,12.3
2009,1,2,10,21,0.77,11.76,6.11,89,12.3
2009,1,2,10,51,0.75,11.76,5.98,96,12.3
2009,1,2,11,21,0.74,10.53,5.46,99,12.3
2009,1,2,11,51,0.73,11.11,4.76,102,12.3
2009,1,2,12,21,0.82,11.11,4.77,92,12.3
2009,1,2,12,51,0.8,11.11,4.77,96,12.3
2009,1,2,13,21,0.77,11.11,4.63,108,12.3
2009,1,2,13,51,0.82,9.88,4.89,94,12.3
2009,1,2,14,21,0.84,10.53,5.07,98,12.3
2009,1,2,14,51,0.78,11.11,4.61,101,12.4
2009,1,2,15,51,0.77,11.11,4.67,104,12.4
2009,1,2,16,21,0.88,11.11,4.97,95,12.4
2009,1,2,16,51,0.82,11.76,4.71,91,12.4
2009,1,2,17,21,0.85,9.88,4.78,94,12.4
2009,1,2,17,51,0.83,9.88,4.52,98,12.4
2009,1,2,18,21,0.83,11.11,4.78,94,12.4
2009,1,2,18,51,0.82,11.11,4.79,95,12.4
2009,1,2,19,21,0.8,11.11,4.68,95,12.3
2009,1,2,19,51,0.81,10.53,4.42,102,12.3
2009,1,2,20,21,0.87,4.55,4.34,153,12.3
2009,1,2,20,51,0.88,4.35,4.25,164,12.3
2009,1,2,21,21,0.91,4.76,4.38,168,12.3
2009,1,2,21,51,0.93,5,4.46,168,12.3
2009,1,2,22,21,0.99,5.26,4.38,168,12.3
2009,1,2,22,51,0.98,5,4.34,174,12.3
2009,1,2,23,21,1,5.26,4.38,177,12.3
2009,1,2,23,51,0.99,5.56,4.31,178,12.3
2009,1,3,0,21,0.98,5.56,4.39,175,12.3
2009,1,3,0,51,0.98,5.56,4.53,178,12.3
2009,1,3,1,21,0.91,5.26,4.48,181,12.3
2009,1,3,1,51,0.95,5.56,4.67,177,12.3
2009,1,3,2,21,0.91,5.56,4.79,178,12.3
2009,1,3,2,51,0.93,5.88,4.81,179,12.3
2009,1,3,3,21,0.92,5.56,4.9,179,12.3
2009,1,3,3,51,0.93,5.56,5.03,175,12.3
2009,1,3,4,21,0.84,5.26,4.97,181,12.3
2009,1,3,4,51,0.87,5.56,5.07,178,12.3
2009,1,3,5,21,0.75,5.56,5,177,12.3
2009,1,3,5,51,0.75,5.56,4.92,185,12.3
2009,1,3,6,21,0.72,5.56,5.08,188,12.3
2009,1,3,6,51,0.7,5.56,4.9,186,12.3
2009,1,3,7,21,0.65,5.56,4.96,182,12.3
2009,1,3,7,51,0.67,5.56,5.01,186,12.3
2009,1,3,8,21,0.69,5.56,5.2,178,12.3
2009,1,3,8,51,0.63,5.56,5.06,177,12.3
2009,1,3,9,21,0.67,5.88,5.22,181,12.3
2009,1,3,9,51,0.61,5.88,5.07,182,12.3
2009,1,3,10,21,0.63,5.56,5.07,182,12.3
2009,1,3,10,51,0.62,5.88,5.16,171,12.3
2009,1,3,11,21,0.59,5.56,5.06,181,12.3
2009,1,3,11,51,0.65,5.88,4.76,178,12.3
2009,1,3,12,21,0.65,6.25,4.97,174,12.3
2009,1,3,12,51,0.61,6.25,4.99,171,12.3
2009,1,3,13,21,0.64,5.88,5.17,171,12.3
2009,1,3,13,51,0.65,5.88,5.36,170,12.3
2009,1,3,14,21,0.63,5.88,5.33,172,12.3
2009,1,3,14,51,0.68,5.88,5.48,178,12.3
2009,1,3,15,21,0.69,5.88,5.6,175,12.4
2009,1,3,15,51,0.69,6.67,5.55,170,12.4
2009,1,3,16,21,0.68,6.25,5.43,168,12.4
2009,1,3,16,51,0.7,5.88,5.39,175,12.4
2009,1,3,17,21,0.67,5.88,5.37,168,12.4
2009,1,3,17,51,0.68,6.25,5.42,178,12.5
2009,1,3,18,21,0.65,6.25,5.6,171,12.6
2009,1,3,18,51,0.73,6.25,5.76,168,12.6
2009,1,3,19,21,0.67,6.25,5.74,177,12.7
2009,1,3,19,51,0.67,7.14,5.69,164,12.6
2009,1,3,20,21,0.59,6.67,5.46,168,12.6
2009,1,3,20,51,0.62,6.25,5.56,170,12.6
2009,1,3,21,21,0.55,6.67,5.3,165,12.6
2009,1,3,21,51,0.57,6.25,5.5,167,12.5
2009,1,3,22,21,0.56,6.25,5.35,170,12.5
2009,1,3,22,51,0.56,6.67,5.24,160,12.5
2009,1,3,23,21,0.57,5.88,5.37,175,12.5
2009,1,3,23,51,0.55,6.25,5.22,163,12.5
2009,1,4,0,21,0.53,6.67,5.08,164,12.5
2009,1,4,0,51,0.52,6.67,5.19,156,12.5
2009,1,4,1,21,0.51,6.67,5.13,153,12.5
2009,1,4,1,51,0.53,6.25,5.24,161,12.4
2009,1,4,2,21,0.5,5.88,5.09,164,12.4
2009,1,4,2,51,0.53,5.88,5.06,165,12.4
2009,1,4,3,21,0.53,6.25,4.61,160,12.4
2009,1,4,3,51,0.54,5.88,4.52,157,12.4
2009,1,4,4,21,0.53,5.88,4.56,160,12.4
2009,1,4,4,51,0.5,5.88,4.51,157,12.4
2009,1,4,5,21,0.53,5.26,4.76,167,12.4
2009,1,4,5,51,0.5,5.88,4.81,164,12.4
2009,1,4,6,21,0.48,5.88,4.98,160,12.4
2009,1,4,6,51,0.44,5.88,5.01,150,12.4
2009,1,4,7,21,0.44,6.67,5.39,140,12.4
2009,1,4,7,51,0.44,5.88,5.35,157,12.4
2009,1,4,8,21,0.4,7.69,5.62,96,12.4
2009,1,4,8,51,0.42,5.88,5.65,143,12.4
2009,1,4,9,21,0.43,6.25,5.74,137,12.4
2009,1,4,9,51,0.38,6.67,5.76,118,12.4
2009,1,4,10,21,0.4,7.69,5.95,96,12.4
2009,1,4,10,51,0.38,6.67,5.71,112,12.4
2009,1,4,11,21,0.39,5.56,5.82,137,12.4
2009,1,4,11,51,0.38,7.69,5.9,104,12.4
2009,1,4,12,21,0.43,7.69,5.72,106,12.4
2009,1,4,12,51,0.39,6.67,5.39,105,12.4
2009,1,4,13,21,0.4,7.14,5.48,95,12.4
2009,1,4,13,51,0.4,6.67,5.38,96,12.4
2009,1,4,14,21,0.4,6.67,5.43,101,12.4
2009,1,4,14,51,0.4,6.67,5.31,99,12.4
2009,1,4,15,21,0.4,7.69,5.35,106,12.4
2009,1,4,15,51,0.4,5.88,5.28,99,12.5
2009,1,4,16,21,0.41,6.25,5.4,98,12.6
2009,1,4,16,51,0.41,7.14,5.38,94,12.8
2009,1,4,17,21,0.39,7.14,5.47,102,12.8
2009,1,4,17,51,0.41,7.14,5.7,96,12.7
2009,1,4,18,21,0.39,6.25,5.57,95,12.7
2009,1,4,18,51,0.4,7.14,5.35,99,12.7
2009,1,4,19,21,0.41,5.56,5.61,119,12.7
2009,1,4,19,51,0.4,7.14,5.67,99,12.7
2009,1,4,20,21,0.4,9.09,5.65,98,12.8
2009,1,4,20,51,0.39,8.33,5.51,104,12.8
2009,1,4,21,21,0.42,9.09,5.23,92,12.7
2009,1,4,21,51,0.39,9.09,5.39,98,12.7
2009,1,4,22,21,0.4,8.33,5.45,95,12.7
2009,1,4,22,51,0.39,8.33,5.35,96,12.7
2009,1,4,23,21,0.4,8.33,5.67,94,12.7
2009,1,4,23,51,0.37,7.14,5.42,104,12.7
2009,1,5,0,21,0.38,7.14,5.64,96,12.7
2009,1,5,0,51,0.36,7.69,5.56,91,12.7
2009,1,5,1,21,0.38,6.67,5.64,101,12.7
2009,1,5,1,51,0.38,7.14,5.44,101,12.8
2009,1,5,2,21,0.38,7.14,5.64,101,12.8
2009,1,5,2,51,0.37,6.25,5.35,108,12.8
2009,1,5,3,21,0.38,7.14,5.51,99,12.8
2009,1,5,3,51,0.38,8.33,5.11,102,12.8
2009,1,5,4,21,0.37,7.69,5.57,92,12.8
2009,1,5,4,51,0.35,6.67,5.6,104,12.9
2009,1,5,5,21,0.37,8.33,5.79,98,12.9
2009,1,5,5,51,0.36,7.14,5.92,99,12.9
2009,1,5,6,21,0.34,8.33,5.64,105,12.9
2009,1,5,6,51,0.34,15.38,5.79,132,12.8
2009,1,5,7,21,0.34,7.14,5.8,99,12.8
2009,1,5,7,51,0.31,8.33,5.32,102,12.7
2009,1,5,8,21,0.34,6.67,5.67,109,12.7
2009,1,5,8,51,0.32,7.14,5.68,113,12.7
2009,1,5,9,21,0.32,15.38,5.51,146,12.7
2009,1,5,9,51,0.32,15.38,4.4,133,12.6
2009,1,5,10,21,0.33,15.38,4.5,141,12.6
2009,1,5,10,51,0.31,15.38,4.69,119,12.6
2009,1,5,11,21,0.32,15.38,5.52,125,12.6
2009,1,5,11,51,0.31,15.38,5.4,125,12.6
2009,1,5,12,21,0.33,14.29,5.15,126,12.6
2009,1,5,12,51,0.36,7.69,4.78,102,12.6
2009,1,5,13,21,0.36,7.69,4.33,104,12.6
2009,1,5,13,51,0.35,7.14,4.58,111,12.6
2009,1,5,14,21,0.34,7.69,4.71,105,12.6
2009,1,5,14,51,0.35,15.38,5.15,113,12.6
2009,1,5,15,21,0.37,15.38,5.12,130,12.6
2009,1,5,15,51,0.34,9.09,4.82,108,12.7
2009,1,5,16,21,0.32,8.33,4.7,102,12.7
2009,1,5,16,51,0.34,15.38,4.97,139,12.7
2009,1,5,17,21,0.34,15.38,4.91,127,12.7
2009,1,5,17,51,0.36,14.29,4.21,122,12.8
2009,1,5,18,21,0.36,14.29,3.64,132,12.8
2009,1,5,18,51,0.39,15.38,3.61,113,12.9
2009,1,5,19,21,0.4,15.38,3.54,130,12.9
2009,1,5,19,51,0.44,14.29,3.6,137,12.9
2009,1,5,20,21,0.48,15.38,3.34,130,12.8
2009,1,5,20,51,0.5,2.7,3.22,199,12.8
2009,1,5,21,21,0.54,3.12,3.2,195,12.7
2009,1,5,21,51,0.55,2.86,3.16,199,12.7
2009,1,5,22,21,0.49,3.03,3.25,206,12.7
2009,1,5,22,51,0.49,2.86,3.2,212,12.7
2009,1,5,23,21,0.48,2.86,3.22,205,12.7
