#YY,MM,DD,hh,mm,WVHT,DPD,APD,MWD,WTMP,SwH,SwP,WWH,WWP,SwD,WWD
2025,12,1,15,56,1.4,5,4.2,62,15.7,0.1,10.5,1.4,4.8,ESE,ENE
2025,12,1,15,26,1.4,5,4.1,59,15.6,0.1,10.5,1.4,4.8,E,ENE
2025,12,1,14,56,1.3,5,4.1,62,15.6,0.1,11.1,1.3,5,E,ENE
2025,12,1,14,26,1.2,5,3.9,56,15.6,0.1,10.5,1.2,4.8,SSE,NE
2025,12,1,13,56,1.2,5,3.8,55,15.6,0.1,10.5,1.1,4.8,E,NE
2025,12,1,13,26,1.1,4,3.8,53,15.6,0.1,11.1,1.1,4.3,E,NE
2025,12,1,12,56,1.1,5,3.8,55,15.6,0.1,10.5,1.1,4.5,E,NE
2025,12,1,12,26,1,4,3.7,45,15.6,0.1,10.5,1,4.3,ESE,NE
2025,12,1,11,56,1.1,4,3.7,38,15.6,0.1,11.1,1.1,4.2,SE,NE
2025,12,1,11,26,1.1,4,3.7,41,15.6,0.1,10.5,1.1,4.2,ESE,NE
2025,12,1,10,56,1,4,3.6,17,15.6,0.1,10.5,1,3.7,E,NNE
2025,12,1,10,26,1,4,3.6,20,15.5,0.1,10.5,1,3.6,ESE,NNE
2025,12,1,9,56,0.9,3,3.6,20,15.5,0.1,10.5,0.9,3.2,ESE,NNE
2025,12,1,9,26,0.8,5,3.7,118,15.5,0.1,10.5,0.8,5,E,ESE
2025,12,1,8,56,0.8,6,4,129,15.6,0.1,10.5,0.8,5.6,ESE,SE
2025,12,1,8,26,0.8,5,4.1,133,15.6,0.1,10.5,0.8,5.3,ESE,SE
2025,12,1,7,56,0.7,5,4.2,128,15.6,0.1,10.5,0.7,5,SE,SE
2025,12,1,7,26,0.8,6,4.5,145,15.6,0.1,10.5,0.8,5.6,SSE,SE
2025,12,1,6,56,0.8,5,4.8,126,15.6,0.1,10.5,0.8,5.3,ESE,SE
2025,12,1,6,26,0.7,6,4.5,133,15.6,0.1,10.5,0.7,5.9,ESE,SE
2025,12,1,5,56,0.8,6,4.8,119,15.5,0.1,11.1,0.7,5.6,SE,ESE
2025,12,1,5,26,0.8,6,5,121,15.5,0.1,10.5,0.8,5.6,ESE,ESE
2025,12,1,4,56,0.8,5,5,133,15.5,0.1,10.5,0.8,5,SE,SE
2025,12,1,4,26,0.7,5,4.9,126,15.5,0.1,11.1,0.7,5.3,ESE,SE
2025,12,1,3,56,0.7,5,4.9,132,15.5,0.1,10.5,0.7,5,ESE,SE
2025,12,1,3,26,0.7,5,5,125,15.5,0.1,10.5,0.7,5,SE,SE
2025,12,1,2,56,0.8,6,5,121,15.5,0.1,11.1,0.8,5.6,ESE,ESE
2025,12,1,2,26,0.7,5,4.9,118,15.6,0.1,10.5,0.7,5.3,SE,ESE
2025,12,1,1,56,0.7,6,4.9,115,15.6,0.1,10.5,0.7,5.6,SE,ESE
2025,12,1,1,26,0.8,6,5,124,15.6,0.1,10.5,0.8,5.6,SE,SE
2025,12,1,0,56,0.9,5,5,142,15.6,0.1,10.5,0.9,4.8,ESE,SE
2025,12,1,0,26,0.8,5,4.9,121,15.6,0.1,10.5,0.8,5,SE,ESE
2025,11,30,23,56,0.8,5,4.8,121,15.7,0.1,11.1,0.8,5.3,ESE,ESE
2025,11,30,22,26,0.8,5,4.4,133,15.7,0.1,10.5,0.9,5.3,SE,SE
2025,11,30,21,56,0.8,5,4.2,133,15.7,0.1,11.1,0.9,4.8,SE,SE
2025,11,30,21,26,0.9,5,4,131,15.8,0.1,10.5,0.8,4.5,ESE,SE
2025,11,30,20,56,0.9,5,4.2,131,15.8,0.1,10.5,0.8,4.5,SE,SE
2025,11,30,20,26,0.8,5,4.2,131,15.9,0.1,11.1,0.9,5,SE,SE
2025,11,30,19,56,0.9,5,4.2,129,16.1,0.1,10.5,0.9,4.8,ESE,SE
2025,11,30,19,26,0.9,4,4.2,122,16.3,0.1,10.5,0.8,4.8,ESE,SE
2025,11,30,18,56,0.9,5,4.2,125,16.3,0.1,10.5,0.9,4.5,ESE,SE
2025,11,30,18,26,0.9,4,4.2,121,16.2,0.1,10.5,0.9,4.3,E,ESE
2025,11,30,17,56,0.9,4,4.1,125,16.3,0.1,10.5,0.9,4.5,ESE,SE
2025,11,30,16,26,0.8,4,4,112,16.1,0.1,10.5,0.9,4.2,ESE,ESE
2025,11,30,15,56,0.9,4,4.1,97,16.2,0.1,10.5,0.9,4.2,ESE,SE
2025,11,30,15,26,0.8,5,4,81,16.1,0.1,11.1,0.8,4,ESE,ESE
2025,11,30,14,56,0.8,5,4.1,80,16,0.1,10.5,0.8,4.2,ESE,E
2025,11,30,14,26,0.8,5,4,79,15.9,0.1,10.5,0.8,5,ESE,E
2025,11,30,13,56,0.8,5,4.1,79,15.9,0.1,11.1,0.8,5.3,ESE,E
2025,11,30,13,26,0.8,5,4.1,77,15.9,0.1,10.5,0.8,5.3,ESE,E
2025,11,30,12,56,0.8,5,4.2,76,15.9,0.1,10.5,0.8,5.3,ESE,E
2025,11,30,12,26,0.9,5,4.2,72,15.9,0.1,10.5,0.8,4.8,ESE,ENE
2025,11,30,11,56,0.9,6,4.2,77,15.9,0.1,10.5,0.8,5,ESE,ENE
2025,11,30,11,26,1,5,4.3,74,15.9,0.1,11.1,0.9,5,ESE,ENE
2025,11,30,10,56,1,5,4,77,15.9,0.1,11.1,0.9,5.6,ESE,ENE
2025,11,30,10,26,1,5,4.2,79,15.9,0.1,11.1,1,5.3,E,ENE
2025,11,30,9,56,1,6,4,83,15.9,0.1,10.5,1,5.3,E,ENE
2025,11,30,9,26,1.1,5,4,80,15.9,0.1,10.5,1,5,E,E
2025,11,30,8,56,1.1,5,4,74,16,0.1,11.1,1,5.6,ESE,E
2025,11,30,8,26,1.1,5,4,77,16,0.1,10.5,1.1,5,E,E
2025,11,30,7,56,1.1,5,4,74,16,0.1,10.5,1.1,4.8,ESE,ENE
2025,11,30,7,26,1.1,5,4,77,16,0.1,10.5,1.1,5,E,ENE
2025,11,30,6,56,1,5,3.9,80,16,0.1,10.5,1.1,5,ESE,ENE
2025,11,30,6,26,1,5,3.9,80,16,0.1,11.1,1.1,5.3,E,ENE
2025,11,30,5,56,1,5,4,83,16,0.1,10.5,1,4.8,E,E
2025,11,30,5,26,0.9,4,3.8,80,16,0.1,10.5,1,5.3,E,E
2025,11,30,4,56,0.9,5,3.8,79,16,0.1,10.5,1,4.8,SSE,E
2025,11,30,4,26,0.9,5,3.8,83,16,0.1,10.5,0.9,4.3,E,E
2025,11,30,3,56,0.9,5,3.7,80,16,0.1,10.5,0.9,4.5,E,E
2025,11,30,2,26,0.8,4,3.6,77,16,0.1,11.1,0.9,5,E,E
2025,11,30,1,56,0.8,3,3.7,72,16,0.1,10.5,0.9,4.8,E,E
2025,11,30,1,26,0.8,5,3.5,79,16,0.1,11.1,0.8,4.2,SE,ENE
2025,11,30,0,56,0.7,5,3.5,79,16.1,0.1,10.5,0.8,3.5,ESE,ENE
2025,11,30,0,26,0.7,5,3.6,76,16.1,0.1,10.5,0.8,4.5,SE,E
2025,11,29,23,56,0.7,4,3.6,73,16.1,0.1,11.1,0.7,4.5,ESE,E
2025,11,29,23,26,0.8,5,3.8,76,16,0.1,10.5,0.7,4.5,ESE,ENE
2025,11,29,22,56,0.7,5,3.8,77,16.1,0.1,11.8,0.7,4.3,SE,ENE
2025,11,29,22,26,0.7,5,3.8,74,16.1,0.1,10.5,0.8,4.5,E,ENE
2025,11,29,21,56,0.8,5,3.9,79,16.1,0.1,10.5,0.7,5,SE,ENE
2025,11,29,21,26,0.7,5,3.7,76,16.1,0.1,10.5,0.7,4.8,ESE,ENE
2025,11,29,20,26,0.8,5,3.8,72,16.1,0.1,10.5,0.8,5,ESE,E
2025,11,29,19,56,0.8,5,3.9,67,16.1,0.1,10.5,0.7,4.8,SE,ENE
2025,11,29,19,26,0.9,5,3.9,70,16.1,0.1,10.5,0.8,4.8,SE,ENE
2025,11,29,18,56,0.9,5,3.8,63,16.1,0.1,10.5,0.8,4.5,E,ENE
2025,11,29,18,26,0.9,5,3.8,69,16.1,0.1,10.5,0.8,5,E,ENE
2025,11,29,17,56,0.9,4,3.8,62,16,0.1,11.1,0.8,4.5,ESE,ENE
2025,11,29,17,26,0.9,5,3.7,69,16,0.1,11.1,0.9,4.5,E,ENE
2025,11,29,16,56,0.9,5,3.7,59,16,0.1,10.5,0.9,4.3,E,ENE
2025,11,29,16,26,0.9,5,3.7,63,16,0.1,10.5,0.9,4.8,E,ENE
2025,11,29,15,56,1,5,3.7,59,16,0.1,10.5,0.9,4.5,ESE,ENE
2025,11,29,15,26,1,4,3.7,62,15.9,0.1,10.5,0.9,4.8,E,ENE
2025,11,29,14,56,1,5,3.7,60,15.9,0.1,11.8,0.9,4.5,E,ENE
2025,11,29,14,26,1,5,3.7,56,15.9,0.1,10.5,0.9,4.3,SE,ENE
2025,11,29,13,56,1,5,3.7,58,15.9,0.1,10.5,1,4.5,ESE,ENE
2025,11,29,13,26,1,5,3.7,56,15.8,0.1,10.5,1,4.5,ENE,NE
2025,11,29,12,56,1,4,3.7,55,15.8,0.1,10.5,1,4.8,ESE,ENE
2025,11,29,12,26,1,5,3.6,60,15.8,0.1,10.5,1,4.8,E,NE
2025,11,29,11,56,1,5,3.6,52,15.8,0.1,11.1,1,4.3,ESE,NE
2025,11,29,11,26,0.9,4,3.6,52,15.8,0.1,11.1,1,4.5,E,ENE
2025,11,29,10,56,1,4,3.7,52,15.8,0.1,10.5,1,4.5,E,NE
2025,11,29,10,26,0.9,4,3.6,48,15.8,0.1,10.5,0.9,4,SE,NE
2025,11,29,9,56,0.9,4,3.6,49,15.8,0.1,11.1,1,4.3,E,NE
2025,11,29,9,26,1,5,3.7,50,15.8,0.1,10.5,0.9,4.3,E,NE
2025,11,29,8,56,1,5,3.7,50,15.9,0.1,10.5,0.9,4.2,ESE,NE
2025,11,29,8,26,0.9,4,3.6,38,15.9,0.1,11.1,1,4.5,ESE,NE
2025,11,29,7,56,0.9,4,3.6,38,15.9,0.1,10.5,1,4.5,E,NE
2025,11,29,7,26,1,4,3.6,35,15.9,0.1,10.5,0.9,4.3,ESE,NE
2025,11,29,6,56,1,4,3.5,39,15.9,0.1,10.5,0.9,4.3,ESE,NE
2025,11,29,6,26,1,4,3.5,32,15.9,0.1,10.5,0.9,4.2,E,NE
2025,11,29,5,56,0.9,4,3.3,34,16,0.1,10.5,1,4.2,ESE,NE
2025,11,29,5,26,0.7,3,3.1,28,16,0.1,11.1,1,4,ENE,NNE
2025,11,29,4,56,0.5,8,3,114,16,0.1,10.5,0.9,3.6,SE,NE
