#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2025 12 01 16 26  1.4  0.1 10.5  1.4  5.0   E ENE VERY_STEEP  4.2  60
2025 12 01 15 56  1.4  0.1 10.5  1.4  4.8 ESE ENE VERY_STEEP  4.2  62
2025 12 01 15 26  1.4  0.1 10.5  1.4  4.8   E ENE VERY_STEEP  4.1  59
2025 12 01 14 56  1.3  0.1 11.1  1.3  5.0   E ENE VERY_STEEP  4.1  62
2025 12 01 14 26  1.2  0.1 10.5  1.2  4.8 SSE  NE VERY_STEEP  3.9  56
2025 12 01 13 56  1.2  0.1 10.5  1.1  4.8   E  NE VERY_STEEP  3.8  55
2025 12 01 13 26  1.1  0.1 11.1  1.1  4.3   E  NE VERY_STEEP  3.8  53
2025 12 01 12 56  1.1  0.1 10.5  1.1  4.5   E  NE VERY_STEEP  3.8  55
2025 12 01 12 26  1.0  0.1 10.5  1.0  4.3 ESE  NE VERY_STEEP  3.7  45
2025 12 01 11 56  1.1  0.1 11.1  1.1  4.2  SE  NE VERY_STEEP  3.7  38
2025 12 01 11 26  1.1  0.1 10.5  1.1  4.2 ESE  NE VERY_STEEP  3.7  41
2025 12 01 10 56  1.0  0.1 10.5  1.0  3.7   E NNE VERY_STEEP  3.6  17
2025 12 01 10 26  1.0  0.1 10.5  1.0  3.6 ESE NNE VERY_STEEP  3.6  20
2025 12 01 09 56  0.9  0.1 10.5  0.9  3.2 ESE NNE VERY_STEEP  3.6  20
2025 12 01 09 26  0.8  0.1 10.5  0.8  5.0   E ESE VERY_STEEP  3.7 118
2025 12 01 08 56  0.8  0.1 10.5  0.8  5.6 ESE  SE      STEEP  4.0 129
2025 12 01 08 26  0.8  0.1 10.5  0.8  5.3 ESE  SE        N/A  4.1 133
2025 12 01 07 56  0.7  0.1 10.5  0.7  5.0  SE  SE        N/A  4.2 128
2025 12 01 07 26  0.8  0.1 10.5  0.8  5.6 SSE  SE        N/A  4.5 145
2025 12 01 06 56  0.8  0.1 10.5  0.8  5.3 ESE  SE        N/A  4.8 126
2025 12 01 06 26  0.7  0.1 10.5  0.7  5.9 ESE  SE        N/A  4.5 133
2025 12 01 05 56  0.8  0.1 11.1  0.7  5.6  SE ESE        N/A  4.8 119
2025 12 01 05 26  0.8  0.1 10.5  0.8  5.6 ESE ESE        N/A  5.0 121
2025 12 01 04 56  0.8  0.1 10.5  0.8  5.0  SE  SE        N/A  5.0 133
